8762410
/m/027hw3z
/m/027hw3z
Jim Ottaviani
2005-10
{"/m/017fp": "Biography", "/m/09kqc": "Humour"}
a 29
about 6
accidentally 1
admits 1
advertise 1
affairs 1
after 3
again 1
alexander 1
alienated 1
all 1
alone 1
along 1
also 2
american 3
americansthey 1
an 4
ancestors 1
ancient 1
and 30
angry 1
annie 1
antiquities 3
are 5
areas 1
arrive 2
arrives 2
article 1
artist 1
as 12
asks 1
at 11
attack 1
attempted 1
attendance 1
attending 1
away 2
back 4
backing 1
backstabbing 1
bad 1
barnum 5
be 2
becomes 1
becoming 1
been 5
before 3
begins 1
behalf 1
behind 1
bell 2
bennet 1
bequeathed 1
berates 1
better 1
between 2
bill 1
birds 1
bitter 1
blood 1
bone 5
bones 4
bought 1
bridger 1
bringing 1
broken 1
buffalo 1
bull 1
bureau 1
buried 1
businessmen 1
but 6
buying 1
by 5
call 1
can 1
card 1
cardiff 1
cards 1
carloads 1
catch 1
charging 1
charles 3
chastised 1
cheerfully 1
chief 3
chimney 1
city 1
class 1
classmarsh 1
closedoff 1
cloud 6
coach 1
cody 1
collatoral 1
colleagues 1
collecting 1
collection 2
combat 1
commissioning 1
conference 1
considered 1
consumed 1
continuous 1
cope 21
copy 1
cover 1
cowboys 1
cranberry 1
created 1
creature 1
cuss 2
dealings 1
decided 1
destroy 1
died 1
dig 1
digging 2
dinosaur 1
discover 1
discovers 1
discuss 2
discusses 1
dont 1
downstairs 1
drawing 1
drinker 1
drinks 1
dryptosaurus 1
during 2
each 2
eager 1
east 2
edward 1
elasmosaurus 3
elitism 1
employ 1
employs 1
encounters 1
enough 3
entire 1
europe 1
even 1
ever 1
examining 1
excavations 1
exchange 2
exclusive 1
expense 3
exposing 1
failed 1
fairfield 1
famous 1
fellow 1
feud 3
few 2
filled 1
finally 1
financial 1
find 1
finds 1
finished 1
first 1
flawed 1
fled 1
folly 1
food 1
for 10
forced 2
form 1
fort 2
fossils 5
found 1
fraud 2
friends 1
from 2
fully 1
funds 1
funeral 1
furious 1
gain 1
gambling 1
game 1
gaps 1
geological 2
get 1
getting 1
giant 3
girl 1
given 1
go 1
gordon 1
got 1
graduates 1
graham 1
granddaughter 1
grandfather 1
grant 1
great 3
grew 1
guest 1
guide 1
had 1
has 11
hasnt 1
hatcher 3
have 6
haven 1
having 1
he 21
heading 1
heads 1
