7970835
/m/026lyjs
/m/026lyjs
Futaro Yamada
2006-12
a 1
abilities 1
abnormally 1
all 1
also 1
and 7
around 1
as 2
at 2
battle 1
become 1
being 1
bloodlines 1
born 1
both 2
breeding 1
bringing 2
but 1
by 2
center 1
centers 1
clans 3
concerning 1
conflict 2
cost 1
course 1
damage 1
destined 1
developed 1
disfigured 1
dispute 1
due 1
each 1
endure 1
endured 1
face 1
fallen 1
families 1
field 1
genetic 1
gennosuke 2
government 1
grandsons 1
had 1
have 1
heavy 1
heirs 1
hopes 1
ieyasu 2
iga 3
in 3
inhuman 1
is 4
juliet 1
koga 3
lifted 1
losses 1
love 1
members 1
mix 1
mutated 1
ninja 1
nohostilities 1
not 1
novel 1
oboro 2
of 10
on 1
only 1
or 1
other 1
otherwise 1
peace 1
physically 1
quite 1
respectively 1
retired 1
rival 1
romeo 1
selective 1
settle 1
several 1
shogun 2
similar 1
so 1
story 2
succession 1
the 16
their 2
them 1
third 1
this 1
to 7
together 1
tokugawa 2
traces 1
treaty 1
two 2
ultimately 1
undo 1
which 1
who 1
whose 1
within 1
years 1
young 1
