5121642
/m/0d3ns8
/m/0d3ns8
Melanie Rawn
1994
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
able 5
access 1
addicted 1
after 1
again 1
against 1
aide 2
aided 1
aides 1
aldiar 5
aldiara 3
all 5
allies 2
along 3
also 1
although 1
amiel 1
an 2
and 26
andry 6
are 4
arlis 1
army 5
as 3
at 2
attack 1
attempt 1
back 2
balarat 2
battle 1
be 3
become 1
been 1
begin 1
begins 2
being 1
between 2
blades 1
blizzard 1
blood 2
both 1
brother 1
but 2
by 3
call 1
calls 2
can 1
captive 1
caught 1
chayla 1
chiana 2
confirmed 1
constructed 1
continent 1
control 3
crippled 1
crumble 1
death 1
defeat 2
desert 3
diarmadhi 2
diarmadhim 1
diarmadhrei 1
die 1
difference 1
diminish 1
discovers 3
dragon 2
dragons 1
dranath 1
drug 1
due 1
during 1
easily 1
elsen 1
end 1
enemies 2
enraged 1
enter 1
entourage 1
escape 1
ever 1
fact 1
falls 1
faolain 1
faradhi 1
faradhim 1
faradhrei 1
final 1
firon 2
food 1
for 2
forces 1
form 2
formed 1
forsaking 1
found 1
free 1
from 5
gained 1
gilad 1
give 1
gives 1
goddess 6
grib 1
group 1
grows 1
had 3
he 3
head 1
heard 1
held 1
help 1
helps 1
her 3
high 3
him 2
his 4
idalian 1
immobile 1
in 11
infiltrate 1
instead 1
into 2
invaders 1
invading 1
is 12
islands 1
it 2
join 1
joined 1
journey 1
keep 6
kierstisel 1
kill 2
killing 1
kills 2
kinsmen 2
knowledge 1
ladies 1
lady 1
laric 3
last 2
led 1
light 1
like 1
list 1
lord 2
lords 1
lost 1
main 1
makes 1
meadowlord 2
meets 1
meiglan 1
mind 1
minds 4
mirror 1
more 1
much 1
must 1
named 2
nearly 1
neutrality 1
new 2
north 3
not 1
now 1
of 21
offers 1
officially 1
old 1
on 2
once 2
one 2
order 2
ostvel 2
other 3
overpower 1
people 2
permission 1
personages 1
physicians 1
plan 2
poisoned 1
pol 12
pose 1
power 1
previously 1
priests 3
prince 6
princedom 3
princes 2
proceed 1
protect 2
purges 1
really 1
reclaim 2
recovery 1
refused 1
regain 1
remnants 1
renders 1
retrieve 1
rid 1
rides 1
rises 1
riverport 1
rohannon 5
rosalath 4
rosseyn 1
rounded 1
royal 1
ruala 1
ruling 1
saumer 1
saves 1
seat 1
secure 1
seeing 1
servants 1
shipped 1
sioned 3
skybowl 1
son 1
sorcerer 1
sorcerers 2
south 1
stances 1
stand 1
steel 1
stop 1
stops 1
strength 2
stretched 1
sunrunners 2
superstitious 1
system 1
takes 1
tears 1
that 4
the 62
their 4
them 3
then 3
these 1
they 3
thinner 1
this 4
though 1
thought 1
tilal 1
tirel 1
to 25
together 3
toll 1
traitorous 1
transgressions 1
two 1
unconscious 1
under 1
up 2
used 2
vellanti 3
vellantim 5
wall 1
walls 1
war 1
warlord 2
way 2
weave 1
weaving 3
were 1
whatever 1
when 1
which 1
while 1
who 3
whose 1
will 1
with 8
withstand 1
woman 1
women 3
work 1
would 3
wove 1
woven 1
wrests 1
