918336
/m/03pts9
/m/03pts9
Oscar Wilde


a 22
above 1
accept 1
accepted 1
accusing 1
act 3
actnbspi 1
addressed 1
addressee 1
admit 1
affair 1
after 2
ago 3
agrees 1
all 1
allowing 1
also 4
an 4
and 29
angrily 1
announced 1
anyone 1
apparently 3
appears 2
are 3
argentina 1
argentine 1
arnheim 1
arrest 1
arrives 1
as 6
aside 1
asking 1
asks 1
assumes 1
at 4
attempts 1
avoid 1
awaits 1
bachelor 1
banter 1
baron 1
be 2
beau 1
been 1
before 2
bejewelled 1
believing 1
between 1
binds 1
blackmail 2
both 4
british 1
brooch 4
build 1
burns 1
but 3
butler 1
buy 1
by 3
cabinet 1
came 1
can 1
canal 4
career 2
caversham 2
change 1
cheveley 17
chiltern 15
chilterns 2
claiming 1
close 1
come 1
comes 1
commons 1
complications 1
complies 1
compromising 1
confront 1
conversation 1
convinced 2
counsel 1
courtship 2
cousin 1
crime 1
dandified 2
days 3
dead 1
decidedly 1
decision 1
decisions 1
declines 1
defiling 1
demands 2
denounced 1
denounces 1
desk 2
destroy 1
destroyed 1
device 1
diamond 2
dinner 1
discovers 1
dissuades 1
does 1
doom 1
drawer 1
drawing 2
drops 1
during 2
each 1
early 1
end 1
ending 1
enemy 1
engaged 1
engages 1
enters 1
evening 1
events 1
exchange 1
exits 1
explain 1
exposes 1
fashionable 1
father 1
fearing 1
fight 1
final 1
finds 1
finishing 1
flirtatious 1
follows 1
for 5
forced 1
forgive 1
forgiveness 1
forgiving 1
former 1
formerly 1
fortune 1
fraudulent 1
friend 2
from 10
further 1
gathering 1
gave 1
genteel 1
goring 23
government 1
grosvenor 2
guests 1
guilt 1
hand 2
handcuff 1
happy 1
has 5
have 1
having 1
he 8
heart 1
help 1
her 14
hidden 1
him 4
his 23
home 2
hosting 1
house 5
how 1
however 2
husband 4
husbandthat 1
ideal 2
if 1
illicit 1
in 17
incensed 1
includes 1
incriminating 1
inflexible 2
inform 1
informs 3
initially 1
insists 1
into 3
is 6
it 7
item 1
its 1
just 1
know 1
lady 15
last 1
leaves 1
less 1
letter 14
life 1
london 1
lord 16
lost 1
love 4
lover 1
loves 1
mabel 6
made 1
makes 1
many 3
marriage 6
marry 1
meant 1
meanwhile 1
member 1
mentor 1
might 1
misconstrued 1
misrecognized 1
model 1
moment 1
money 1
morally 2
more 1
mrs 15
must 2
name 1
nature 1
night 1
not 1
note 3
now 1
obliquely 1
obtains 1
of 17
offers 1
old 1
on 3
once 2
opens 1
other 2
out 1
party 2
past 1
permitted 1
pink 1
place 1
plans 2
plot 2
pointedly 1
politics 1
possession 1
predicated 1
prestigious 1
previous 1
private 1
promise 2
proposal 1
proposes 1
prove 1
public 1
purchase 1
read 1
reading 1
reads 1
receives 2
reconcile 1
reducing 1
refuses 2
regarding 1
release 1
relents 1
remain 1
removing 1
renege 1
reneging 1
renounce 1
resign 1
resolves 1
retrieve 1
returns 1
reveals 2
robert 26
room 3
ruin 1
ruining 1
scheme 3
school 1
seals 1
search 1
second 1
secret 2
seeks 1
sell 1
send 1
set 1
she 8
sir 26
sister 2
sketched 1
someone 1
son 2
spouse 1
springs 1
square 2
steals 1
still 2
stocks 1
stole 1
stolen 1
storms 1
submits 1
suez 1
suggested 1
support 1
supporting 1
taken 1
takes 3
that 13
the 41
their 3
then 4
these 1
they 1
third 1
this 1
three 1
thus 1
to 31
toward 1
trade 1
transaction 1
trap 1
triumph 1
true 1
two 2
ultimately 2
unable 1
unaware 1
unexpected 1
unexpectedly 1
unimpeachable 1
unmasked 1
up 1
upon 1
urges 2
use 1
ushered 1
vengefully 1
visit 1
vulgar 1
waits 1
wed 1
were 1
when 4
which 2
while 2
who 1
wife 3
will 1
wishes 1
with 7
woman 1
worship 1
wrist 1
years 3
young 1
