3895521
/m/0b5n4_
/m/0b5n4_
Adolfo Bioy Casares
1940
{"/m/06n90": "Science Fiction"}
a 16
about 2
abruptly 1
absence 1
accepts 1
act 1
actions 1
afraid 1
after 2
alec 1
all 3
although 2
among 2
an 2
and 18
anger 1
another 1
appeared 1
approach 1
aquarium 1
are 4
arrival 1
arrive 1
as 7
asks 1
assumes 1
at 3
attributes 1
authorities 1
avoiding 1
based 1
bearded 1
because 1
been 2
being 1
believes 1
better 1
between 1
bothers 1
but 7
by 3
called 1
calls 1
capable 2
capture 1
cards 1
caused 1
claims 1
cliff 1
closely 1
cold 1
come 1
comes 1
confident 1
conscience 1
consequence 1
considers 1
contact 1
conversations 1
copies 1
correctly 1
crazy 1
creation 1
cue 1
day 2
dead 2
decides 1
describes 1
desert 1
despite 1
diary 3
die 1
direct 1
disease 1
does 2
doing 1
during 2
dying 1
ellice 1
encounters 2
endless 1
ends 1
energy 1
enter 1
entry 1
eternity 2
even 1
every 1
everyday 1
evidence 1
existence 1
experience 1
experiments 1
explanation 1
falls 1
faustine 5
favor 1
fears 1
feed 1
feels 1
fictional 1
final 1
finds 2
fish 1
focus 1
food 1
for 5
forever 1
found 1
french 1
frequently 1
from 2
fugitive 7
goes 1
going 1
guesses 1
hallucination 1
happen 1
happening 1
happens 1
has 1
have 5
haynes 1
he 35
hearing 1
heat 1
her 5
hiding 1
hill 1
him 6
himself 1
his 7
how 2
identical 1
if 1
ignoring 1
imagines 1
in 8
including 1
inhabit 1
inserts 1
into 1
invent 1
invention 3
inventor 1
investigate 1
is 20
island 8
islands 1
it 3
jump 1
keeps 1
kind 1
kinetic 1
knows 1
learn 1
learns 2
least 1
leaves 1
let 1
life 1
like 1
live 1
looks 1
looping 1
love 2
lover 1
loves 1
machine 4
man 2
matter 1
mdash 1
meeting 1
mention 1
mercy 1
merging 1
might 1
miracle 1
model 1
moons 2
more 1
morel 10
museum 2
name 1
new 1
night 1
no 1
nobody 1
not 5
notices 3
now 1
nowhere 1
of 23
off 1
on 12
one 3
onto 1
operate 1
other 3
out 3
over 1
overlaps 1
own 1
part 1
pass 1
past 1
people 3
phenomena 1
photographs 1
picks 1
player 1
points 1
poisoning 2
pool 1
position 1
possible 1
presence 2
previous 1
prison 1
radiation 1
react 1
real 1
reality 2
reappear 1
recorded 1
recording 6
relive 1
repeat 1
represents 1
reproducing 1
repulsion 1
result 1
resurrect 1
retreats 1
returns 1
running 1
same 1
search 1
second 1
sees 2
sentenced 1
shake 1
she 5
side 1
similar 2
sky 1
slept 1
so 2
something 1
sort 1
soul 1
souls 2
speak 1
spend 2
spies 1
starts 1
still 1
strange 3
strangest 1
suddenly 1
sun 2
suns 2
sunset 1
supply 1
sure 3
swamps 1
symptoms 1
take 1
talk 1
talking 1
tells 1
tennis 1
than 1
that 9
the 68
their 4
them 2
themselves 1
theories 1
there 2
they 9
thing 1
things 2
this 2
though 1
through 2
tide 1
time 2
to 15
together 1
too 1
top 1
tourists 8
truth 1
turn 1
tuvalu 1
two 4
unbearable 1
understands 1
up 2
used 1
uses 1
vanish 1
venezuela 1
villings 1
visits 1
waiting 1
wants 1
watches 1
we 1
week 3
west 1
what 2
when 3
where 2
while 5
who 3
whose 1
will 8
wind 1
with 6
woman 2
writer 1
yet 1
