869761
/m/03k4sk
/m/03k4sk
Francisco Delicado

{"/m/05hgj": "Novel"}
a 12
abilities 1
about 1
advice 1
after 4
agreement 1
aid 1
aldonza 1
although 1
an 1
and 8
as 1
aunt 1
beauty 1
becomes 2
begins 2
bit 1
book 2
brothel 1
by 1
called 2
changing 1
cities 1
come 1
continues 1
cooking 1
cordoba 1
death 1
diomedes 2
disappear 1
disfigured 1
disgusted 1
disobeys 1
downtown 1
east 1
ends 1
escapes 1
face 1
father 1
few 1
following 1
for 1
from 1
given 1
gives 1
goes 1
he 2
help 1
her 12
him 2
his 1
house 2
however 1
in 4
installs 1
is 1
jew 1
journey 1
life 1
lipari 1
little 2
lives 1
livorno 1
lover 1
lozana 6
madame 1
make 1
makes 1
man 1
many 1
marseille 1
medicine 1
mediterranean 1
meet 1
merchant 1
middle 1
money 1
mother 2
move 1
moves 1
name 1
narration 1
neapolitan 1
new 1
of 6
order 1
owns 1
pays 1
post 1
precocious 1
prison 1
prostitute 1
rampin 2
request 1
rome 3
sack 1
sailor 2
sea 2
see 1
sends 1
servant 2
sexually 1
she 5
so 1
son 1
spanish 1
syphilis 1
takes 1
that 1
the 14
then 1
there 1
they 1
time 1
to 12
travelling 1
trigos 1
up 1
where 3
who 2
with 6
without 1
woman 1
women 1
years 1
