14917564
/m/03h1fm4
/m/03h1fm4
James Patterson
2003
11year 1
a 10
about 1
after 2
all 2
an 3
and 8
another 1
as 1
at 1
becomes 1
boat 1
boss 1
bought 1
boxer 1
buttercup 1
by 1
called 2
campus 1
cares 1
chance 1
chasing 1
chimera 2
cindy 1
claire 1
club 1
college 2
complicate 1
connection 1
coombs 4
crooked 1
dating 1
dies 1
discovers 1
elderly 1
epilogue 1
excop 1
father 3
finally 1
fire 1
for 4
force 1
frank 3
from 2
further 1
gang 1
getting 1
girl 2
happened 1
has 3
he 3
her 6
his 3
homicide 1
if 1
in 2
include 1
investigate 1
investigations 1
is 8
it 1
itseconda 1
jailhate 1
jill 1
just 1
killed 1
killer 2
kills 1
ladies 1
leads 1
lieutenant 1
lindsay 5
lives 1
longer 1
loss 1
lying 1
mexico 1
murder 1
murdered 2
murders 1
name 1
named 1
no 1
of 6
officer 1
old 1
on 1
opened 1
or 1
partner 1
past 1
pastor 1
pet 1
police 1
postcard 1
pregnant 1
real 1
receives 1
recent 1
recovering 1
returning 1
revenge 2
romanzo 1
rusty 3
saying 1
series 1
several 1
she 2
shows 1
sniper 1
sniperkilled 1
son 1
sorry 1
starts 1
still 1
story 1
students 1
target 1
that 3
the 12
theme 1
then 1
this 1
through 1
to 8
tower 2
trail 2
trails 1
up 1
when 1
where 1
with 1
woman 1
women 1
