6062284
/m/0fn5d8
/m/0fn5d8
Walter Scott
1820
1547 1
a 16
abbot 5
absence 1
accompanied 1
accused 1
advancing 1
afterwards 1
against 2
alarmed 1
alive 1
allowed 2
altar 1
always 1
an 2
and 36
announced 1
another 1
anticipation 1
apparently 1
apparition 1
appeared 1
approval 1
arrival 1
arrived 2
as 7
assembled 1
assertion 1
assisted 2
assurance 1
astounded 1
at 4
attentions 1
avenel 8
back 1
baron 3
baroness 1
barons 1
battle 2
be 1
become 1
been 6
being 1
belief 1
between 2
bible 4
book 1
bosom 2
both 1
brother 3
brotherhood 1
brotherinlaw 1
brought 1
but 4
by 15
came 2
carrying 1
castle 1
charged 1
christie 2
church 5
clinthill 1
college 1
comforted 1
commanded 1
companion 1
condition 1
conducted 1
confess 1
confessing 1
confirmed 1
conflicts 1
contribution 1
court 1
custody 1
dame 1
danger 1
daughter 3
day 1
dealt 1
death 1
deathbed 1
decided 1
declared 2
dependent 1
despatched 1
destruction 1
detained 1
determination 1
dine 1
disappeared 1
disbelieving 1
disclosing 1
discovered 1
doctrines 1
dressed 1
during 2
earl 2
edinburgh 1
edward 3
elspeth 2
engagement 1
england 1
english 3
escape 2
eustace 3
exchanged 1
facing 1
fairy 1
fallen 1
family 1
fatal 1
fate 1
father 4
fight 1
first 1
fitting 1
flaming 1
flanders 1
flaw 1
fled 1
followers 1
following 1
for 5
forays 1
forests 1
formed 1
forster 1
forward 1
fought 1
found 1
freebooter 3
friends 1
from 10
glen 1
grief 1
grotto 1
had 18
halbert 6
happer 1
having 6
he 12
heiress 1
henry 3
her 11
here 1
heretic 1
heretical 1
hidden 1
him 9
his 24
hitherto 1
home 1
hospitality 1
host 1
hostile 1
however 2
husband 1
impressed 1
in 13
induced 1
influence 1
insolent 1
intelligence 1
intentions 1
intercession 1
interrupted 1
interview 1
intimate 1
invaders 1
it 4
its 1
jealousy 1
john 2
joined 1
julian 3
killed 1
knight 2
knot 1
lady 4
laid 1
laird 1
lands 1
late 1
learnt 2
leave 1
leaving 1
life 1
lonely 1
lord 3
lover 1
making 1
mansion 1
many 1
marauders 1
marched 1
marriage 2
mary 5
matter 1
meanwhile 1
message 1
met 1
midst 1
might 1
military 1
miller 2
miraculously 1
missal 1
missing 1
monasteries 1
monastery 4
monk 1
monks 1
morning 1
mortally 1
mother 1
murdered 1
murray 1
mysie 3
mysterious 1
mysteriously 1
new 1
next 2
night 2
northwards 1
now 1
obedience 1
obtained 1
occupants 1
of 37
off 1
offended 1
offered 1
office 2
on 8
other 1
owner 1
page 1
pedigree 1
philip 1
piercie 5
pinkie 1
place 1
plundered 1
possessed 1
possession 1
possessions 1
preacher 1
prevent 1
prisoner 2
produce 1
promise 1
property 1
protection 1
protestant 1
prove 1
proved 1
quarrelled 1
ranger 1
rather 1
reaching 1
read 1
recovered 1
reformation 1
refugee 1
refused 1
regent 1
resigned 1
resolution 1
respected 1
rest 1
retain 1
return 1
returned 1
returning 1
rival 1
road 1
sacristan 1
same 1
save 1
scotland 1
scottish 1
search 1
secretly 1
seen 1
seized 1
sent 1
serious 1
serve 1
services 1
settled 1
shafton 1
she 2
shipped 1
simon 1
sir 7
snatch 1
soldiers 1
son 1
soon 1
sought 2
spectral 1
spectre 1
spirit 1
spiritual 1
spite 1
spread 1
squadron 1
st 1
standard 1
startled 1
subprior 4
subsequently 1
summoned 2
supporters 1
supposed 1
surrender 1
surrendered 1
suspicion 1
taken 3
tale 1
temporal 1
tenants 1
than 1
that 9
the 88
their 3
them 4
then 2
they 2
thither 1
tied 1
to 29
token 1
told 1
too 1
tower 5
treated 1
troops 1
under 5
unhorsed 1
uninjured 1
up 1
urging 1
vassals 1
village 1
visit 1
visited 2
voluntarily 1
warden 3
was 17
way 1
well 1
were 6
when 2
where 3
which 1
while 2
white 5
who 10
whose 1
widow 1
wife 1
with 12
withdraw 1
won 1
would 1
wounded 1
youth 1
