31194118
/m/0gjbqhk
/m/0gjbqhk
Damon Knight
1961
a 13
accept 1
accommodation 1
agrarian 1
alien 4
aliens 3
all 1
among 1
an 3
ancestral 1
and 8
are 3
as 3
at 1
attacked 1
author 1
barely 1
been 1
begins 1
board 1
bombs 2
building 1
but 2
by 9
called 1
campaign 1
cheat 1
close 1
colony 1
come 1
commandeers 1
convinces 1
destroy 1
devastated 1
disease 1
earth 3
earthmen 1
elsewhere 1
endorses 1
envoy 1
escapes 1
establishes 1
eventually 1
fleet 1
follow 1
for 2
forced 1
from 1
future 1
galactic 1
ghetto 1
group 4
has 1
have 1
he 2
hence 1
him 2
human 1
humans 6
ie 1
in 2
inferior 1
innate 1
insectlike 1
instead 1
is 4
kill 1
leader 1
league 1
leave 1
lie 1
live 1
migrs 1
minority 1
most 1
murder 1
murdered 1
nevertheless 1
new 1
niori 2
of 8
on 3
one 1
only 2
opens 1
original 1
palu 2
people 1
place 1
plagued 1
planet 3
planets 1
political 1
populated 2
preparing 1
primitive 1
puts 1
quarter 2
race 1
rack 3
representative 1
retribution 1
return 1
returns 1
saboteurs 1
secondclass 1
see 1
seek 1
ship 2
ships 1
sin 1
society 1
solar 1
space 1
species 2
status 1
stopped 1
story 3
suggests 1
sun 1
suns 1
supports 1
systems 1
takes 1
tendency 1
that 3
the 22
their 2
them 2
these 1
thugs 1
title 1
to 10
totalconversion 1
traits 1
understanding 1
uninhabited 1
using 1
visit 1
war 1
which 1
who 2
with 2
without 1
work 1
