2423068
/m/07c08h
/m/07c08h
Michael Cunningham
1998
{"/m/0fr3y1": "Parallel novel", "/m/07s9rl0": "Drama", "/m/05hgj": "Novel"}
1 25
123 1
14 1
141 1
160 1
20th 1
7 1
a 92
abhors 1
about 12
accompany 1
accomplishment 1
achieved 1
acquaintance 1
act 5
action 3
actor 1
admits 1
adults 2
aeroplane 1
affirmation 1
afflicted 1
afraid 1
after 1
afternoon 1
again 3
against 1
agree 2
aids 2
air 1
alive 3
all 9
almost 2
alone 3
already 4
also 6
although 1
always 1
am 1
amateur 1
amazon 1
american 1
among 1
amorous 1
an 14
and 101
ane 1
angel 1
angeles 1
anguished 1
animals 1
announces 2
announcing 1
annoyance 1
annoys 1
another 5
answer 1
answered 1
anticipation 1
any 1
anything 4
anyway 1
apartment 10
appears 2
appreciated 1
appreciates 1
appreciation 1
are 14
armload 1
around 1
arrangements 1
arrived 1
arrives 1
art 4
artifice 1
artist 1
artistic 1
as 48
ask 1
asked 2
assailed 1
assistant 1
assisted 1
associate 1
astounding 1
at 22
attempting 1
attends 2
attention 1
attitude 1
author 1
avoid 1
awarded 1
aware 3
away 1
awkwardness 1
back 3
backs 1
ballads 1
barely 1
barren 1
based 1
battles 2
be 22
beautiful 1
because 6
become 2
becomes 1
bed 3
been 13
before 1
began 1
beginning 2
begins 2
behind 2
being 8
beleaguered 1
believes 4
beside 1
best 1
betraying 1
better 1
between 3
beyond 1
bin 1
bird 6
birthday 3
bit 1
blessed 1
bmovie 1
body 2
bone 1
book 2
bookwhat 1
both 5
boys 1
briefly 1
brilliant 1
brought 2
brown 5
brushes 1
building 2
bumps 1
business 1
bustle 1
busy 1
but 17
buy 3
by 16
cake 9
cakemaking 1
calling 1
calls 1
calmly 1
came 1
can 1
capitulate 1
care 2
carefree 1
carefully 1
caregiver 1
carelessness 1
carrouthers 1
catalogues 2
catch 1
cause 1
century 1
challenge 1
chambers 1
changed 1
chapter 2
character 5
characters 2
child 3
children 8
choice 1
circle 1
circlet 1
citizenship 1
city 2
clarissa 49
cleaning 1
cleanliness 1
clearly 1
closes 1
closest 2
coat 1
cobblestones 1
coffee 1
comfort 1
comforts 1
commit 3
compared 1
compares 1
competence 3
complete 1
complex 1
concerns 1
confidence 1
confidently 1
conflict 1
congratulate 1
connection 1
consider 1
considering 2
constantly 1
contain 1
content 1
contentedness 1
continued 1
continues 2
control 1
convince 2
cook 1
could 8
counterpoint 1
country 1
creaking 1
create 1
creation 1
cress 1
crew 1
cunningham 2
cutting 2
