230092
/m/01hgwz
/m/01hgwz
Roger Zelazny
1972
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 36
abdicate 1
ability 1
able 1
about 2
accuses 1
across 2
african 1
after 2
against 4
agrees 1
all 3
allowing 1
alluding 1
along 2
already 1
also 5
amber 12
ammunition 1
amounts 1
an 8
and 26
angry 1
ankles 1
announces 1
anxious 1
apparently 2
apprehensive 1
are 2
arm 2
army 3
arranges 1
arrives 1
as 10
aspects 1
assault 2
assembly 1
assisting 1
assumes 2
at 3
attack 1
attempt 2
avalon 9
back 1
band 1
banished 1
battle 4
battlefield 1
battling 1
be 4
because 1
become 2
been 5
before 1
being 1
believed 1
believes 1
benedict 15
betrayed 1
black 4
bleys 1
blocks 1
blood 1
bloodline 1
bodies 1
brand 1
brother 2
brothers 1
buried 1
but 5
by 8
cabra 1
call 1
called 2
camp 1
capability 1
capital 1
cards 1
care 1
carries 1
catches 1
cavedwelling 1
cease 1
challenge 1
chamber 1
chaos 2
circle 5
claim 1
coast 1
come 1
comes 1
completely 1
completing 1
compromising 1
conceived 1
confirming 1
confronts 1
constantlyexpanding 1
contact 1
contacts 1
cordially 1
corey 1
corruption 1
corwin 51
country 1
courts 2
creature 1
creatures 1
crime 1
curse 2
cuts 1
dara 6
dark 5
daughter 1
death 1
defeated 1
demon 1
demonic 3
demons 1
demonstrating 1
describes 1
deserter 1
desperate 1
destroy 1
destroyed 1
diamonds 1
did 1
die 2
dies 1
discovered 1
dispatching 1
disposed 1
does 2
duel 1
during 1
earth 2
either 1
emerge 1
encircles 1
encounters 1
end 1
endless 1
enemies 1
enemy 2
ensues 1
eric 3
escape 1
eventually 1
evil 2
existence 1
far 1
father 2
fears 1
feline 1
fighting 1
find 1
finding 1
finds 4
firearms 1
first 1
floor 1
focusing 1
follow 1
follower 1
for 6
force 1
forces 3
formidable 1
fortress 1
free 1
fresh 1
from 11
further 1
ganelon 14
garden 1
garnath 1
get 1
giant 1
gives 1
goatheaded 1
grard 2
grass 2
grayswandir 1
greatgranddaughter 1
greets 1
grotesque 1
guard 1
guards 1
habitation 1
had 3
happening 1
harvests 1
has 10
have 2
having 2
he 21
hellcats 1
hellmaids 2
help 1
her 6
him 13
himself 1
his 15
home 2
horde 1
horseback 1
house 3
however 1
human 2
identity 1
imprisonment 1
in 16
incognito 1
information 1
inhuman 1
into 7
intrigue 1
involved 1
is 12
it 4
jewel 1
jeweler 2
jokingly 1
journey 2
journeying 1
journeys 1
judgement 1
julian 1
keep 1
kills 2
king 2
kingdom 1
knight 1
knock 1
known 1
knows 1
lance 3
land 1
large 1
later 1
lead 1
leader 2
leading 1
leads 1
learn 1
learns 1
led 1
left 1
line 1
literature 1
littleseen 1
lived 1
local 2
longlost 1
lorraine 10
lost 1
lovers 1
low 1
magical 1
man 4
manner 1
mdash 7
means 1
medieval 2
meet 1
meets 3
melkin 3
men 2
message 1
military 1
mind 1
more 2
most 1
moving 1
murdered 1
murderer 1
named 3
near 1
nearby 1
nears 1
needs 1
neutrality 1
never 1
new 1
not 2
notice 1
oberon 1
obtaining 1
of 39
off 2
office 1
old 1
on 8
once 3
one 2
onetime 1
opener 1
or 1
orders 1
ordinary 1
our 1
out 2
outlaw 1
outmatched 1
parallel 1
passes 2
past 2
patch 1
pattern 5
patternsword 1
peace 1
person 1
phenomenon 1
place 1
pleading 1
previous 1
produce 1
pronounced 1
pronounces 1
protector 2
purchase 1
pursues 2
random 2
reach 1
reaching 1
reality 1
receives 1
recently 2
recognize 1
recognizes 2
recruited 1
recruits 1
recuperating 1
refuses 1
rejects 1
relates 1
reluctant 1
remembered 1
responsible 1
returning 1
revealed 1
reveals 2
riders 1
rides 1
righthand 1
road 3
robbed 1
rose 1
rouge 2
royalty 1
ruled 2
rules 1
runs 1
search 1
section 1
seeing 1
seen 1
sends 1
senses 1
set 1
sets 2
several 1
shadow 14
shadows 2
shapes 1
she 6
shifting 1
similar 4
simply 1
sir 1
slays 2
slept 1
soldiers 1
some 2
somehow 1
someone 1
soulless 1
speak 1
spellcasting 1
strange 4
strategist 1
stretching 1
strygalldwir 2
suddenly 1
summons 1
support 1
surprise 1
suspecting 1
swordsman 1
tarot 1
teleport 1
tells 4
that 17
the 60
their 1
them 4
then 3
there 2
they 2
this 3
though 1
threat 1
throne 2
through 5
to 45
toadstools 1
top 1
toward 2
tower 1
trading 1
training 1
trains 1
traitor 1
tricks 1
tries 1
trump 3
trumps 1
trying 1
turns 1
two 1
tyrant 1
unconscious 1
unfamiliar 1
until 1
up 1
upon 1
use 1
using 1
uther 1
vale 1
vanished 1
vanishes 1
version 1
via 2
vision 1
visited 1
visits 1
voice 1
volume 1
walk 2
walking 2
wandering 1
was 1
way 1
where 3
which 3
while 2
who 5
whom 4
will 1
window 1
winged 1
witchcraft 1
with 8
woman 1
worlds 1
wounded 2
wyvern 1
york 1
young 2
