8680336
/m/027drq7
/m/027drq7
Jaclyn Moriarty
2000
15yearoldgirl 1
a 24
about 3
accepts 1
actions 1
actually 2
added 1
after 1
again 1
all 2
almost 1
alone 1
also 1
always 1
an 3
and 32
anonymous 4
another 1
any 2
anymore 1
apparent 2
are 5
around 1
as 6
ashbury 3
asks 1
at 4
attends 1
australia 1
away 2
awkward 1
barrage 1
be 1
become 1
becomes 1
been 5
before 1
befriended 1
begin 2
begins 1
being 1
best 2
blindness 1
both 2
botherit 1
boy 4
boyfriend 1
bring 1
bringing 2
broke 1
brookfield 2
buckley 1
burgeoning 1
but 7
by 7
called 1
canada 1
celia 15
change 1
christina 9
circus 2
clarry 1
close 1
clubs 2
collie 1
comes 1
comfort 1
comprehensive 1
concerned 1
concerns 1
condom 1
confidence 1
confides 1
confused 1
constantly 1
correspondence 1
cousin 1
crush 2
culminates 1
dating 1
death 1
decided 1
decides 1
derek 1
despite 1
details 1
devastated 2
devises 1
discovered 1
discovers 1
dismay 1
does 2
dog 2
doing 1
dont 1
down 2
dramas 1
during 1
each 2
elizabeth 29
ends 1
english 1
equal 1
eventually 2
everything 1
exclusive 1
expressing 1
fact 1
father 2
faults 1
feelings 1
feels 1
finds 1
fit 1
for 4
forced 1
found 1
freespirited 1
friend 3
friends 1
friendship 3
from 9
generally 1
get 3
girl 2
give 1
go 1
goes 1
going 1
good 2
got 1
grows 1
had 6
halfbrother 1
happened 1
happier 1
harassed 1
has 8
have 1
having 1
he 4
healthy 1
hear 1
her 38
herself 1
high 1
his 2
home 2
house 1
hurt 1
if 1
immediately 1
in 9
incredibly 1
insincere 1
interest 1
into 1
invite 1
is 17
it 7
jared 1
joined 1
just 1
kratovac 1
last 1
learns 1
leaving 1
left 1
letter 5
letters 5
life 3
like 2
lives 1
local 2
lochie 3
loss 1
luckily 1
maddie 3
mainly 1
make 2
manager 1
marathon 2
meets 1
missing 1
months 1
more 2
mother 4
moved 1
mr 1
much 4
name 1
named 4
needed 1
never 2
new 3
not 8
notices 1
novel 1
of 8
okay 1
on 3
one 2
open 1
opportunity 1
other 1
out 1
over 2
own 2
pact 1
page 1
parents 1
particularly 1
party 3
perhaps 1
permanent 1
person 2
plot 1
pointing 1
pregnant 3
prevented 1
private 1
problems 1
protagonist 1
real 1
reason 1
receives 2
recently 1
recipient 1
recover 1
reflections 1
reintroduced 1
relationship 3
retreat 1
returns 1
revealed 1
revolve 1
ricky 5
romantic 1
run 2
running 2
same 1
save 1
saxon 7
school 4
second 1
seem 3
sees 1
sending 1
serious 1
sex 1
she 14
signifying 1
sleepover 1
so 1
societies 1
someone 1
son 1
soon 3
stepbrother 2
still 1
story 2
student 1
subconscious 1
suburb 1
success 1
suddenly 1
suicide 1
sydney 1
sympathy 2
takes 1
teacher 1
tell 1
telling 1
than 2
that 17
the 25
their 1
them 3
then 3
they 7
things 1
this 2
though 1
thoughts 1
three 1
throw 1
time 2
to 20
together 1
told 1
training 1
truck 1
truth 1
unbeknown 1
unsuccessful 1
upset 1
various 1
very 1
walker 1
wanted 1
wants 1
was 2
way 2
wayward 1
well 1
when 5
whereabouts 2
who 8
whom 1
wife 1
will 2
with 16
without 1
woman 1
wont 1
worse 1
write 1
writing 2
york 1
