31523740
/m/0glnyc_
/m/0glnyc_
Jacqueline Winspear
2003-07-01
110 1
12 1
a 7
able 1
about 1
act 1
after 5
also 1
and 8
anything 1
apprentices 1
are 1
as 5
asylum 1
at 6
attends 1
bay 1
be 1
beale 1
becomes 3
belgravia 1
billy 1
blanche 4
business 1
but 1
cambridge 1
can 2
caretaker 1
case 1
caught 1
close 1
college 1
compton 3
comptons 1
confronted 1
country 1
deciding 1
dies 1
discreet 1
efforts 1
else 1
ends 1
england 1
enough 1
extremely 1
falls 1
fast 1
father 1
felt 1
first 1
for 1
fortune 1
fourteen 1
friend 1
from 1
front 1
fulfilling 1
getting 1
ghosts 1
girton 1
great 1
happens 1
has 3
he 1
help 2
her 10
himself 1
his 3
holding 1
home 1
i 1
important 1
in 7
infiltrate 1
intensifies 1
intervene 1
introduced 1
investigation 1
investigative 1
investigator 1
involves 1
is 5
joy 1
known 1
lady 3
learn 1
learning 1
learns 1
library 1
love 1
maid 1
maisie 12
make 1
man 2
mansion 1
maurice 1
meet 1
meets 1
memories 1
mother 1
much 1
must 2
mystery 3
nurse 1
of 11
office 1
old 2
openandshut 1
opens 1
over 1
own 3
part 1
pressures 1
psychology 1
pupil 1
reading 1
retired 1
retreat 4
rowan 1
science 1
seemingly 1
she 7
signed 1
something 1
son 1
soon 2
surrounding 2
suspicious 1
taken 1
teaches 1
ten 1
that 2
the 18
there 1
threats 1
to 6
uncovers 1
university 1
veteran 1
veterans 1
volunteers 1
war 8
what 1
when 2
where 1
whom 1
willing 1
with 4
work 1
world 1
years 2
young 2
