6900028
/m/0gw504
/m/0gw504
Carolyn Keene
1955
a 5
ability 1
accompany 1
adversary 1
after 1
amish 1
an 1
and 5
another 1
asks 1
attempt 1
bess 1
but 1
case 1
changes 1
clue 1
country 1
cunning 1
danger 1
detective 1
does 1
drew 1
dutch 1
fascinating 1
finally 1
finds 1
floor 1
friendly 1
friends 1
from 1
george 1
get 1
give 1
helps 1
her 5
his 2
hostility 1
in 2
intelligence 1
is 2
it 1
lead 1
leads 1
lurks 1
mansion 1
mystery 1
nancy 5
neighbor 1
new 1
not 1
of 2
off 1
old 1
on 1
one 1
opens 1
pennsylvania 1
people 1
persistently 1
pursuit 1
puzzling 1
receive 1
rumored 1
ruthless 1
second 1
she 1
sleuthing 1
solution 1
soon 1
superstition 1
symbol 1
that 2
the 5
thief 1
this 1
to 6
trail 1
tree 1
uncovers 1
uninhabited 1
up 2
welcome 1
when 2
witch 2
young 1
