12133961
/m/02vqyjs
/m/02vqyjs
Michael Dobson
2002-06
144 3
16 1
1th 5
20 2
21st 1
26 1
2600 1
a 22
abbeville 1
about 1
actual 1
adolf 1
advance 1
adventures 1
after 1
against 6
ahead 1
aims 1
air 2
aircraft 1
aircrew 1
all 5
allied 1
allies 5
allows 1
almost 2
already 1
also 5
although 1
am 2
ambush 1
an 5
and 10
angers 1
antwerp 1
any 1
appearance 1
appoints 1
ardennes 1
are 2
armored 4
army 5
as 9
assassin 1
assault 1
assigned 2
assigns 1
assistants 1
associated 1
at 6
attack 3
attacks 1
b 1
b24 1
back 2
bastogne 1
battle 1
be 1
because 1
becomes 1
before 1
begins 2
believes 1
berlin 2
bomb 1
bombard 1
bomber 2
bombing 1
bombs 1
book 2
boost 1
break 1
breaks 1
bridge 1
bridges 2
british 1
bulge 1
but 1
buys 2
by 3
called 3
calls 1
campaign 1
capture 1
capturing 1
carlheinrich 1
carousel 1
change 1
charge 1
chief 1
city 1
claus 1
clear 1
cobra 1
code 1
codenamed 1
colonel 2
combat 2
coming 1
command 2
commander 3
commandos 1
concern 1
conference 1
conquer 1
consolidate 1
conspirator 1
conspirators 2
coordinated 1
correspondent 1
counterattack 2
countercoup 1
coup 1
crewmember 1
cripples 1
crossed 2
crossing 1
days 1
death 1
december 2
decides 1
decision 1
destroy 1
destroys 1
development 1
dies 2
dinant 3
disagrees 1
disguised 1
division 6
doing 1
dragoon 1
driver 1
dump 1
during 2
east 1
eastern 3
efforts 1
emphasize 1
enough 1
erwin 1
europe 2
european 1
evacuate 1
events 1
eventually 1
excerpts 1
executes 1
explained 1
explanation 1
extend 1
fictional 1
field 4
fieldmarshal 1
fighter 2
final 1
for 7
force 1
forced 1
forces 7
foreign 1
fox 2
france 1
from 8
front 3
fuchs 1
fuel 1
further 1
fury 1
galland 2
general 4
george 1
german 6
germanamerican 1
germans 3
germany 1
gnther 1
going 1
government 1
grip 1
group 2
gruenwald 1
guderian 1
gunther 1
has 1
have 1
having 1
he 4
heavy 1
heinrich 1
heinz 1
him 1
himmler 7
his 6
history 1
hitler 1
hold 1
holding 1
holds 1
however 2
identified 1
implementation 1
in 15
include 1
injuries 1
instances 1
intelligence 1
inuniverse 1
is 6
it 1
jared 1
joachim 1
joseph 1
july 2
keep 1
kill 2
kluge 1
later 1
launch 2
lead 1
leader 1
leaving 1
left 1
lehr 1
letters 1
liberator 1
like 1
luftwaffe 2
major 2
marshal 3
me262 1
meet 1
mention 1
metz 1
meuse 2
minister 1
missile 1
mobilization 1
momentum 1
montgomery 1
more 2
moscow 1
mother 1
much 2
naval 1
nazis 1
negotiate 1
new 1
night 1
no 1
normandy 2
novel 1
november 1
now 1
of 23
offensive 3
officer 1
officers 1
on 6
one 3
opening 1
operation 8
operations 1
opportunity 1
option 1
orders 2
organizes 1
other 3
out 1
own 1
pacific 1
panther 1
panzer 1
panzerarmees 1
patton 3
peace 1
personal 1
plan 1
pleased 1
plot 1
posing 1
position 1
possible 1
post 1
postponement 1
prepares 1
press 1
professor 1
program 1
promptly 1
prompts 1
proposes 1
raid 1
reach 1
reallife 2
recovered 1
recovers 1
refuel 1
regroup 1
reichssturm 1
reinforced 1
reinhardt 2
reporter 1
responds 1
results 1
rhein 2
rhine 2
ribbentrop 1
river 1
role 1
rommel 11
run 1
same 1
scandinavia 1
sees 1
send 1
sending 1
sends 1
severely 1
share 1
shift 2
side 1
signal 1
so 1
soldiers 1
some 2
southern 1
soviet 1
soviets 1
spearhead 1
ss 6
stalin 1
stauffenberg 2
stavelot 1
stlpnagel 1
stop 1
story 1
strafing 1
strategy 1
strongpoint 1
subplots 1
successfully 3
sudden 2
suffered 1
surrender 2
surviving 3
suspend 1
takes 1
tank 1
technology 1
than 1
that 5
the 77
theater 1
their 2
them 1
third 1
three 1
through 5
time 4
to 33
treaty 2
tries 1
troopers 1
troops 2
two 1
under 1
union 1
unit 1
units 4
us 6
used 1
using 1
valkyrie 1
von 6
wacht 1
war 1
watch 1
waterloo 1
wehrmacht 3
weight 1
west 1
western 1
westwall 1
when 2
which 1
while 3
who 3
will 1
with 6
withdraws 1
without 1
wolfscchanze 1
work 1
working 1
written 1
yearning 1
