491904
/m/02gy06
/m/02gy06
Clive Barker

{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 16
able 1
about 2
accidentally 1
act 2
activity 1
affair 3
after 1
agree 1
agreement 1
agrees 1
alone 1
altercation 1
an 7
and 20
another 3
apparently 1
appear 1
are 3
artifact 1
as 2
assured 1
at 4
attempt 1
attempts 2
attic 1
back 2
bars 1
be 3
beautiful 1
been 1
before 2
begins 2
between 1
bleeds 1
bodies 2
body 3
bonbons 1
box 7
bringing 1
brother 1
but 1
by 4
can 1
cannot 1
carnal 1
catch 1
cenobite 1
cenobites 13
collapsing 1
completely 1
configuration 1
confused 1
consisting 1
conventional 1
corpse 1
could 1
countless 1
creatures 1
crimes 1
cuts 1
deceased 1
dedicated 1
degenerate 1
desiccated 1
despite 1
devotion 1
differentiate 1
dimensional 1
doors 1
doves 1
dsseldorf 1
during 1
encounters 2
engaging 1
engineer 1
england 1
ensnare 1
ensues 1
entirety 1
entrusts 1
escape 1
escaped 1
eternity 1
every 1
exchange 1
exhaustion 1
expects 1
experience 2
experiences 3
experiment 1
experiments 2
extradimensional 1
extreme 5
faces 1
favors 1
feeds 1
feeling 1
financial 1
find 1
finds 1
flees 1
flowers 1
for 3
frank 25
friend 1
from 1
grandmother 1
had 1
hand 1
has 4
have 2
having 3
he 7
heads 1
hears 1
hedonist 1
her 4
heretofore 1
him 5
his 9
home 2
hooks 1
horribly 1
horrified 1
hospital 1
house 2
identity 1
if 1
imagines 1
in 10
inadvertently 2
inhabitants 1
initially 1
instead 1
into 2
is 10
it 3
jaded 1
jug 1
julia 7
kill 1
kills 1
kirsty 7
known 2
lacquered 2
lament 1
later 1
leader 1
leads 1
learned 1
leave 1
leaves 1
leaving 1
left 1
life 2
like 1
lived 1
locating 1
longer 1
looking 1
love 1
lusting 1
mankind 1
marriage 1
married 1
massive 1
may 1
members 1
men 1
might 1
modified 1
more 1
move 1
moving 1
multitude 1
murders 1
never 1
newest 1
nihilist 1
no 1
nonetheless 1
not 2
now 4
obsessing 1
obtains 1
of 14
offer 1
offerings 1
on 4
one 1
only 1
open 1
opening 1
order 1
other 1
out 2
over 2
overload 1
own 2
owner 1
pain 1
paradise 1
performing 1
pleasure 2
point 3
portal 1
prepares 1
promises 1
pursuit 1
pursuits 1
puzzle 3
puzzles 1
rather 1
readily 1
realizes 2
realm 4
recently 1
reduced 1
reflected 1
regenerate 1
religious 1
renege 1
renew 1
repeated 1
resides 1
restore 1
return 3
returns 1
rory 9
rumors 1
sadomasochism 1
said 1
scarified 1
schism 1
secretly 1
seducing 1
seeks 1
sees 1
selfish 1
sensory 1
sensual 2
serves 1
severed 1
sexless 1
sexual 2
she 8
shrine 1
singleminded 1
skeptical 1
skin 1
slain 1
slowly 1
small 1
so 2
solves 1
sometime 1
spent 2
spot 1
stayed 1
steals 1
still 1
street 1
subject 1
subjected 1
sucked 1
summons 1
support 1
surface 2
suspects 1
take 1
taken 2
tells 1
than 1
that 13
the 37
their 8
them 5
there 1
they 4
this 1
through 1
to 32
torture 1
total 1
travel 1
travels 1
turn 1
ultimate 1
unfathomable 1
unfulfilled 1
unknown 1
unlocking 1
unrepentant 1
unseen 1
unstimulated 1
until 2
urine 1
wanting 1
warnings 1
was 1
watch 1
way 1
wearing 1
wedding 1
week 1
what 1
when 2
where 5
which 3
while 2
who 4
whose 2
wife 1
will 1
with 8
women 1
wonders 1
work 1
world 1
