14815919
/m/03gyxhy
/m/03gyxhy
Ellen Hopkins
2007-10-23
a 15
according 1
actions 1
after 4
alcoholic 2
alcoholinduced 1
all 1
also 1
an 1
and 22
another 1
appears 1
as 11
at 3
aunt 11
authorities 1
away 1
back 1
backs 1
be 2
beating 2
beatings 1
beats 1
beautiful 2
become 1
becomes 2
before 1
begins 1
behind 1
being 1
believe 2
believes 3
believing 1
boy 2
boyfriend 2
break 1
brother 1
built 1
but 2
by 2
call 1
care 1
carry 1
caught 1
childhood 1
children 1
come 1
community 1
conceived 1
confide 1
contact 1
continues 1
creates 1
dating 1
davie 1
davis 2
deeply 1
defiant 1
defying 1
derek 2
described 1
desert 1
disagrees 1
do 2
does 3
dont 1
dream 1
drinking 1
drunken 1
during 2
duty 1
e 1
eastern 1
emotions 1
end 2
especially 2
ethan 4
even 1
eventually 1
expectations 1
expecting 1
experienced 1
experiment 1
explains 1
eyes 1
face 1
family 2
famous 1
father 8
fear 1
finally 1
finds 2
first 1
for 7
forced 1
forever 1
free 1
freedom 1
from 2
gain 1
gates 2
generals 1
george 2
georgia 1
getting 1
girl 1
girls 2
god 1
going 1
grant 1
gun 1
handle 1
having 1
he 2
heaven 1
held 2
her 37
high 1
him 1
hinted 1
hold 1
home 1
household 1
how 2
husband 3
in 13
is 12
it 1
j 5
jack 1
jackie 2
jeanette 2
jefferson 1
just 2
kevin 1
know 1
lashing 1
later 1
leading 1
learns 1
leaves 1
led 1
lee 1
letters 1
life 3
lifestyle 2
live 1
lived 1
lives 1
love 3
loveheaven 1
lovetrue 1
loving 1
make 1
many 1
meaning 1
meet 1
more 2
mormon 6
mother 6
must 1
name 1
named 2
need 2
nevada 1
next 1
not 5
number 1
objections 1
of 8
old 1
oldest 3
on 4
once 1
one 1
only 1
open 1
openly 1
oppressed 1
out 2
own 2
parents 2
pastor 1
patton 2
pattyn 18
pershing 1
person 1
possible 1
pregnant 1
pull 1
punches 1
punishment 1
question 1
rage 1
rages 1
received 1
receives 2
receiving 1
regarding 1
releasing 1
religion 1
resentment 1
returns 1
robert 1
roberta 1
role 1
roosevelt 1
s 1
school 1
selfconfident 1
sent 1
separate 1
seven 2
seventeen 1
she 11
sister 1
sisters 1
six 1
son 1
stand 1
starts 1
stays 1
stress 2
strict 1
studies 1
submissive 1
succumb 1
summer 2
sweetheart 1
take 2
talks 1
teaches 1
teddie 1
tells 1
than 1
that 7
the 19
their 1
then 1
theodore 1
there 1
they 2
though 1
thought 1
threat 1
through 1
throughout 1
time 1
to 26
towards 1
true 2
uc 1
ulyssa 1
ulysses 1
unable 1
up 1
was 1
way 1
well 1
were 1
what 1
who 4
whom 1
wide 1
wife 1
will 3
wishes 2
with 9
woman 1
years 2
you 2
younger 1
youngest 1
