883407
/m/03ljll
/m/03ljll
Jules Verne

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
1874 1
37 1
37th 1
a 12
abandoned 2
accidentally 1
after 3
also 1
america 1
among 1
amsterdam 1
an 2
and 12
announcement 1
are 4
attempt 2
auckland 2
audience 1
australia 3
authorities 1
ayrton 5
back 1
be 2
beasts 1
being 2
believing 1
board 1
boarding 1
book 1
bottle 1
britannia 4
british 1
but 3
by 4
captain 5
captured 1
cast 1
children 3
circumnavigate 1
clues 1
coast 1
come 1
condition 1
consist 1
contact 1
control 2
coordinates 1
crew 1
cunha 1
da 1
daughter 1
decide 1
degrees 1
describe 1
desert 1
destinations 1
difficulty 1
discover 1
duncan 6
during 1
erased 1
escape 1
europe 1
exchange 1
expedition 2
explore 1
failed 1
fails 1
fauna 1
few 1
find 2
finding 1
flora 1
for 4
form 1
former 1
french 1
from 1
geographer 1
geography 1
glenarvan 3
glenarvans 1
grant 7
greatest 1
have 1
he 2
himself 1
his 7
however 2
humanity 1
in 8
india 1
instead 1
into 1
is 6
island 5
it 1
jacques 1
joins 1
knowledge 1
known 1
lady 2
languages 1
later 1
latitude 1
launch 1
lead 1
leave 1
left 1
likely 1
live 1
lle 1
lord 3
loss 1
lost 1
luck 2
luckily 1
made 1
main 1
make 1
makes 1
manage 1
mary 1
missed 1
mistakenly 1
mori 1
mostly 1
moved 1
mysterious 1
mystrieuse 1
new 2
newspaper 1
not 1
novel 2
numerous 1
ocean 1
of 19
off 1
offers 1
on 3
only 1
out 3
paganel 2
parallel 1
passenger 1
patagonia 1
piracy 1
place 1
places 1
practice 1
present 1
pretext 1
prisoner 1
proposes 1
quartermaster 1
quest 2
reappears 1
regain 1
reinterpreted 1
remaining 1
rescue 1
robert 1
sail 2
sailors 1
scotland 1
search 1
seem 1
seize 1
set 1
sets 1
several 1
sheer 2
shelter 1
ship 3
shipwrecked 1
site 1
some 1
son 1
south 3
steamer 1
story 1
surprise 1
surrendered 1
tabor 1
take 1
targeted 1
tells 1
that 3
the 40
their 2
them 1
there 1
they 9
this 1
three 1
through 1
throughout 1
thus 1
times 1
to 21
together 1
trade 1
traitor 1
tribe 1
tries 1
tristan 1
turns 1
unexpected 1
various 1
verne 1
want 1
was 2
when 1
where 1
which 1
who 2
wife 1
with 2
words 1
would 1
wreckage 2
wrecked 1
yacht 1
young 1
zealand 2
