12492095
/m/02w8w0l
/m/02w8w0l
Graham Taylor
2003
a 5
abilities 1
about 1
after 2
an 1
and 3
as 1
began 1
blind 1
boy 1
child 1
comet 1
coming 1
dark 1
destroyed 1
disaster 1
experiments 1
flesheating 1
for 2
from 1
he 1
helpless 1
highwayman 1
himself 1
his 2
jonah 1
just 1
keeper 1
kept 1
know 1
locusts 1
london 1
lord 1
magician 1
malachi 2
malphas 1
many 1
moon 1
mysterious 1
named 1
of 4
on 1
one 1
oracle 1
partner 1
people 2
plans 1
powers 2
predicted 1
recover 1
sent 1
side 1
solomon 1
some 1
starting 1
starts 1
story 1
sv 1
tara 1
teenage 1
tersias 4
that 1
the 8
themselves 1
time 1
to 4
use 1
using 1
wanted 1
was 5
who 1
wormwood 1
zealot 1
