5326809
/m/0dfs7q
/m/0dfs7q
Michael Crichton
1990-11
18 1
a 32
able 3
about 1
abruptly 1
act 1
activating 1
admit 1
adult 1
advances 1
after 1
against 1
agent 1
aggressionhad 1
air 2
alan 1
alexis 1
all 2
allfemale 1
already 1
also 2
amber 1
american 1
amphibian 1
an 3
analyzing 1
and 45
animal 1
animals 3
anne 3
any 2
archrival 1
are 8
arnold 2
around 1
array 1
arrival 1
as 5
asks 1
assertion 1
asset 1
at 1
attack 1
attacks 1
attempts 2
august 1
authority 1
automated 1
auxiliary 3
avian 1
away 1
b 3
back 3
backdoor 1
batches 1
be 1
bearings 1
been 9
before 2
begins 1
between 1
beyond 1
billionaire 1
biological 1
biosyn 1
bluntly 1
board 1
boarding 1
both 1
bred 1
breeding 3
burial 1
but 2
by 10
cannot 1
care 1
carrying 1
cautious 1
center 1
changed 1
chaos 1
chickens 1
chief 3
children 3
claiming 1
cloned 1
coast 1
code 2
collapse 1
compare 1
complex 1
compound 1
computer 2
concerning 1
conclusion 1
condition 1
constraints 1
consultants 2
consulted 1
contact 2
containing 1
contemplating 1
control 3
controllers 1
controlling 1
corporate 1
corpse 1
costa 7
counterbalance 1
countering 1
create 1
creation 1
creature 1
creatures 1
crew 1
crops 1
curve 1
damaged 1
dangerous 2
deep 1
dennis 1
depart 1
departed 1
design 1
destroyed 1
destroying 2
detained 1
detectors 1
dichogamy 1
didnt 1
died 1
dilophosaurus 1
dinosaur 2
dinosaurs 8
dire 1
disarray 1
discovered 1
display 1
distinctive 1
distracts 1
distribution 2
dna 3
dock 1
doctor 1
dodgson 1
donald 1
down 5
dr 2
due 1
during 3
dying 1
each 1
earlier 1
eaten 1
eating 1
ed 1
eggs 1
eggshell 1
electricity 1
electrified 1
ellie 3
embryos 1
emerge 1
emphatic 1
enabled 1
enclosure 1
energy 1
engineering 1
enough 1
environment 1
errors 1
escape 1
escaped 1
escaping 2
especially 1
espionage 1
established 1
even 1
events 1
eventually 2
exception 1
executive 1
exits 1
expected 1
fail 1
falls 1
female 1
females 1
fences 2
fencesincluding 1
fifteen 2
fill 1
filled 1
find 1
finds 1
flaw 1
for 9
force 2
forced 1
forms 1
found 3
fresh 1
frog 1
from 1
frozen 1
furthermore 1
game 1
gaps 2
gaussian 1
generators 1
genetic 4
geneticist 2
geneticists 1
gennaro 5
get 2
going 1
government 1
governments 1
graduate 1
grandchildren 1
grant 13
gravely 1
greater 1
group 1
groups 1
guests 2
guitierrez 2
had 1
hammond 6
hammondfounder 1
hammondstruggle 1
happened 1
harding 2
has 7
hatched 1
have 6
having 1
he 7
head 1
hears 1
height 1
helicopter 1
helicopters 1
help 1
henry 1
higher 1
hill 1
his 9
holding 1
how 1
however 1
ian 1
identified 1
implied 1
improving 1
in 27
incident 2
incidents 1
indefinitely 1
informs 2
ingen 2
ingenfor 1
injure 1
injured 2
intelligence 1
international 1
into 4
investors 2
involving 1
is 14
isla 1
island 11
it 6
its 1
john 2
jungle 2
jurassic 2
just 1
juvenile 1
kill 1
killed 2
killing 2
largely 1
last 1
later 2
lawyer 1
leave 1
leaving 1
lectures 1
lewis 1
lex 3
lives 2
lizardlike 1
long 1
lost 1
lucid 1
lysinedeficient 1
lysinerich 1
main 3
mainland 2
make 2
making 1
malcolm 11
males 1
manage 1
managementengineer 1
manager 1
manages 2
many 1
martin 1
mathematician 1
meaning 1
means 1
meanwhile 2
measure 1
merely 1
method 1
midst 1
migrating 1
mistakes 1
morphineinduced 1
mosquitoes 1
motion 1
muldoon 6
murphy 1
napalm 1
narrative 1
nedry 3
nests 1
news 1
none 1
nonverbal 1
not 1
notice 1
novel 1
nublar 1
number 2
of 25
off 2
officer 1
offline 1
on 10
one 2
only 1
operating 1
or 3
order 3
organize 1
ought 1
out 4
over 1
own 1
pack 2
page 1
paleobotanist 1
paleontologist 1
park 29
part 1
pattern 1
pen 1
people 1
permit 1
pessimistic 1
placate 1
plunge 1
points 1
population 4
populations 1
possible 1
power 6
predicament 1
prediction 1
predictions 1
prehistoric 1
preserve 2
preserved 1
previous 1
procompsognathus 4
programmer 1
prospects 1
proudly 1
prove 1
public 1
pursuit 1
quarantined 1
quickly 1
rafting 1
raised 1
rants 1
raptor 2
raptors 4
rather 1
reaches 1
reactivate 1
reactivated 1
reared 1
recent 1
recreated 1
regis 1
rejects 1
relations 1
releases 1
reluctant 1
remain 1
remainder 1
remote 1
representing 1
reptilian 1
reset 1
resetting 1
response 2
responsibility 1
restart 1
restarting 1
restore 1
restoring 1
return 2
revealed 2
revised 1
rex 1
rica 3
rican 4
river 1
roar 1
robert 1
room 1
running 1
runs 1
sattler 2
say 1
says 1
search 1
second 2
secure 1
security 2
seems 1
series 2
set 2
setting 1
several 2
shaking 1
ship 1
showcasing 1
shows 1
shut 1
shutting 2
simple 1
since 2
slowly 3
small 1
smuggle 1
software 1
some 1
soon 5
species 2
specimens 1
spends 1
spooked 1
stand 1
states 1
steal 1
stolen 1
storm 1
story 1
stowaways 1
strange 2
structure 1
student 1
sudden 1
suggests 1
supervisor 1
supply 1
survive 1
survivors 2
system 6
systems 2
takes 1
taking 1
tally 1
technologies 1
tell 2
than 1
that 16
the 109
their 9
them 5
theme 1
themselves 1
then 3
theorist 1
they 8
this 3
those 1
though 1
three 1
through 2
tim 4
time 5
to 39
toes 1
together 1
tour 1
touring 1
touts 1
trex 1
tries 2
tropical 1
trying 1
turn 1
tying 1
tyrannosaurus 1
understand 2
unfortunately 1
unharmed 1
united 1
unknown 1
unsustainable 1
upon 2
upper 1
using 2
vast 1
vehicle 1
vehicles 1
velociraptor 1
velociraptors 1
veterinarian 1
via 1
visit 1
visited 1
visitor 1
waiting 1
walk 1
warden 1
was 1
way 1
weekend 1
weeks 1
wellknown 1
were 2
werent 1
what 1
when 3
where 2
which 2
while 3
whisked 1
who 1
whole 1
wild 1
wilds 1
will 1
with 7
without 1
word 1
working 1
wouldnt 1
wrote 1
wu 2
young 1
youthful 1
