529052
/m/02lzxb
/m/02lzxb
Henryk Sienkiewicz
1884
{"/m/0hwxm": "Historical novel"}
17thcentury 1
about 1
according 1
accuracy 1
and 5
are 1
author 1
bohdan 2
book 2
books 1
characters 1
chmielnicki 1
chronicles 1
despite 1
details 1
deviations 1
during 1
epic 1
era 2
events 1
failed 1
favors 1
fictional 1
figures 1
following 1
for 1
framework 1
genuine 1
heart 1
heroic 1
historical 3
in 2
including 1
insurrection 1
into 1
is 2
it 2
january 1
jeremi 1
khmelnytsky 1
language 1
life 1
lift 1
made 1
many 1
memoirs 1
most 1
nation 1
nobility 1
nonetheless 1
of 5
often 1
on 1
one 1
or 1
over 1
particular 1
partitions 1
period 1
place 1
plots 1
pol 1
poland 2
polish 2
popular 1
real 1
researched 1
scenes 1
sienkiewicz 2
some 1
story 1
szlachta 1
that 1
the 13
thus 1
to 2
unhappy 1
up 1
vivid 1
was 1
winiowiecki 1
woven 1
written 1
