22097772
/m/05pb7_8
/m/05pb7_8

2005-07-26
{"/m/05hgj": "Novel"}
a 5
accidentally 1
across 1
again 1
all 1
along 1
an 2
ancient 1
and 11
antarctica 2
any 1
are 1
area 1
as 1
at 2
atlantis 4
australian 1
australianowned 1
back 1
barely 1
be 1
been 1
beg 1
begins 1
being 3
beings 1
beneath 2
bids 1
both 1
bottom 1
but 2
calls 1
character 1
charge 1
chasm 1
check 1
church 1
civilization 1
cliffhanger 1
concealed 1
connections 1
conrad 8
continent 1
control 1
convince 1
could 1
countries 1
deliver 1
destroy 1
destroying 1
discover 2
discovery 1
each 1
earthquake 1
empty 1
end 2
ends 1
ever 1
evidence 1
existence 1
exnun 1
find 2
for 4
found 1
four 1
from 1
general 1
goes 1
good 1
government 1
griffin 1
had 3
happened 1
has 1
he 2
her 5
him 1
his 1
hit 1
human 1
humanity 1
ice 2
ignore 1
in 11
inconclusive 1
information 4
inside 1
international 1
into 2
invite 1
is 4
its 2
just 3
keep 1
law 1
leads 1
life 1
linguist 1
lost 1
loved 1
main 1
manmade 1
many 1
mcmurdo 1
meant 1
middle 1
military 1
multiple 1
nearby 1
never 1
newlyrevealed 1
next 1
no 1
not 2
nothing 1
novel 2
nurse 1
of 12
off 1
offers 1
on 2
once 1
one 1
only 2
order 1
other 1
over 1
own 1
past 1
periodically 1
pope 2
powers 1
proceeds 1
proof 2
prophecy 1
pyramid 1
race 1
real 1
reasons 1
reburial 1
religion 1
remains 1
report 1
reporting 1
resolved 1
return 1
revealed 1
right 1
sake 1
save 1
secrets 1
seghetti 1
seize 1
serena 4
set 2
she 1
site 1
situation 1
son 1
station 1
stop 1
story 2
survives 1
switching 1
take 1
technology 1
terrorist 1
that 3
the 32
their 2
them 1
themselves 1
then 1
there 1
thermos 1
they 6
theyve 1
things 1
this 1
to 17
top 1
toying 1
trap 1
treated 1
tricked 1
tries 2
trouble 1
truly 1
trying 1
uncovered 1
uncovers 1
unfortunately 1
unsuccessfully 1
up 2
us 1
use 1
vatican 1
wakes 1
way 2
what 2
when 3
which 1
while 3
with 6
within 1
without 1
woman 1
work 1
yeats 1
yet 1
