1117355
/m/047hy9
/m/047hy9
Roald Dahl
1980
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 6
about 1
abused 1
actually 1
affixes 1
all 1
also 2
and 9
another 1
apparently 1
are 3
around 1
as 2
assistance 1
attach 1
awaits 1
away 2
balloons 1
be 2
beer 1
being 1
believe 2
bird 2
birds 2
book 2
boys 1
brand 1
brick 1
but 1
by 2
can 1
cane 1
catch 1
catching 1
caution 1
ceiling 3
chair 1
character 1
charade 1
chronicles 1
circus 1
claiming 1
coats 1
constantly 1
continuously 1
convinced 1
convinces 1
couple 2
dahl 1
dinner 1
disease 1
drops 1
each 1
earlier 1
end 1
endure 1
escape 1
eye 1
family 1
fate 2
featured 1
figure 2
fills 1
floor 1
for 4
forced 1
forcing 1
fortunately 1
free 2
furniture 1
glass 1
glue 3
group 1
had 2
hatred 1
he 1
heads 1
helium 1
help 1
her 5
hideous 1
himself 1
his 2
hopes 2
house 1
how 2
however 2
husband 1
if 1
in 7
into 3
is 3
it 1
jokes 1
known 1
land 1
learn 1
leaving 1
lengthens 1
less 1
likely 1
limbs 1
little 1
live 1
manages 1
mistreated 1
mistreatment 1
monkeys 2
mr 5
mrs 2
mug 1
mugglewumps 4
nearly 1
needs 1
new 1
nothing 1
of 13
on 5
once 1
one 1
only 1
other 2
out 4
owners 1
perch 1
permanently 1
pet 1
pie 1
plate 1
play 1
powerful 1
practical 1
property 1
resulting 1
ridding 1
rolypoly 2
same 1
several 1
she 2
shrinking 2
shrinks 1
so 1
spaghetti 1
spied 1
spiteful 1
stand 1
start 1
sticking 1
stretched 1
terrible 1
that 12
the 23
their 6
them 6
themselves 1
they 9
thinking 1
those 1
tired 1
to 14
together 1
tree 3
trick 1
twit 7
twits 3
unsuspecting 1
until 1
up 2
upsidedown 1
use 1
using 1
very 1
vindictive 1
way 2
when 1
while 1
who 1
wife 1
wind 1
windows 1
winds 1
with 5
without 1
works 1
worms 1
