6686478
/m/0gh7r9
/m/0gh7r9
Gael Baudino
1989
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 14
abandon 1
able 1
acceptance 1
after 4
again 1
age 2
aggressive 1
agility 1
agrees 1
alive 1
all 1
aloysius 1
ambitious 1
an 3
and 18
another 1
are 1
armed 2
arranging 1
arrives 1
as 5
at 2
aurverelle 1
authorities 1
back 1
baron 4
battle 1
be 1
bear 1
because 1
becoming 1
been 2
beldon 1
better 1
bishop 1
brigid 4
but 1
by 3
can 1
care 1
catholic 1
change 3
city 1
combat 2
comes 3
committed 1
companions 1
completed 1
completely 1
completing 1
conceives 1
concludes 1
convinces 1
cranby 2
curing 1
days 1
dead 1
deeming 1
denounced 1
dimly 1
duel 1
dungeon 1
eclampsia 1
eighteen 1
elf 5
elven 3
elves 2
elvish 1
engage 1
escapes 1
expel 1
falls 1
final 1
finally 1
find 2
flee 1
flees 1
for 6
forces 1
forest 2
form 1
formally 1
formulating 1
free 4
from 1
fruitless 1
fullcontact 1
future 1
futures 1
go 2
goes 2
gradually 1
grievously 1
had 2
hands 1
has 2
have 2
hawking 1
he 5
heal 1
healing 1
heals 2
health 1
help 1
her 21
him 9
his 4
human 2
humanlyimpossible 1
hunting 1
idea 1
important 1
imprisoned 1
imprisoning 1
in 8
infiltrate 1
information 1
inhabitants 1
initiates 1
injured 1
injuries 1
inquisition 1
inquisitors 1
interrogating 1
into 3
is 4
it 1
just 1
keep 1
keeping 2
killing 1
kills 2
larger 1
leaves 1
leaving 1
less 2
made 1
make 2
match 1
mauled 1
metamorphosis 1
midwife 2
mika 6
mind 1
miriam 9
miriams 1
mirya 6
more 1
mortally 1
name 1
nearby 1
never 1
nobleman 1
not 1
nurses 1
of 19
on 3
one 5
only 2
original 1
out 1
over 1
parents 1
patients 1
people 1
perform 1
persuades 1
piercing 1
plan 1
planned 1
possible 1
potential 1
power 1
powers 3
prevails 1
prison 2
privacy 1
quest 1
rapes 1
reality 1
realize 1
realizes 3
realizing 1
recovering 1
remake 1
result 1
return 1
revenge 1
roger 5
run 1
safe 2
saint 4
same 1
search 1
searching 1
secret 1
security 1
senses 1
several 1
sham 1
she 14
slaughter 1
so 2
sparring 1
still 1
stronger 1
summon 1
sword 1
symbol 1
takes 2
task 1
terrill 5
than 2
that 6
the 28
their 2
then 2
they 1
this 2
though 1
through 2
tight 1
to 21
tormentors 1
towns 2
tracks 1
train 1
transformation 1
traveling 1
travels 1
trip 1
two 1
unable 1
upon 2
uses 2
using 1
varden 3
vengeance 1
village 2
violate 1
waiting 1
wanders 1
way 2
ways 1
welcome 1
what 1
when 2
where 1
wherein 1
while 1
who 2
will 2
witch 1
with 3
woman 1
wounding 1
years 1
young 2
