8357311
/m/0270mk0
/m/0270mk0
William Sleator

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
4d 1
a 6
about 2
access 2
accidentally 1
after 2
agreement 1
air 1
allows 1
and 6
appears 1
as 1
aware 1
back 1
be 1
boy 2
brings 1
but 3
by 2
came 1
captives 1
coaxes 1
creatures 2
dance 1
dangerous 1
determines 1
different 1
dimension 2
dimensions 1
disappear 1
door 2
end 1
escaping 1
eventually 1
existence 1
explain 1
extremely 1
feels 1
finds 1
first 1
fourdimensional 1
fourspace 1
fourth 1
from 1
funny 1
furthermore 1
girl 1
go 2
going 2
grows 1
hair 1
has 1
he 9
help 1
her 5
hers 1
high 1
higher 1
him 2
himself 1
his 2
how 1
impress 1
in 2
into 2
is 3
it 4
know 1
knowledge 1
laura 1
learns 1
letting 1
lose 1
makes 1
making 1
might 1
mirror 1
named 1
next 1
normal 1
of 4
omar 3
on 4
other 2
out 1
own 1
parting 1
pete 3
popular 1
powerful 1
pressured 1
realizes 1
refuses 1
repeatedly 1
report 1
reveals 1
reversed 1
safe 1
school 2
secret 1
seems 2
she 8
show 1
side 2
some 1
something 1
supervision 1
suspicious 1
than 1
that 4
the 11
their 1
they 1
thin 1
threaten 1
to 13
tries 1
truth 2
under 1
unfortunately 1
unlock 1
up 1
use 1
usual 1
very 1
violating 1
visit 1
wants 1
warns 1
way 2
weird 1
what 1
when 2
where 1
with 2
without 1
world 1
writing 1
