2257233
/m/06zr_k
/m/06zr_k
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 2
advertising 1
alongside 1
and 1
anyway 1
ariadne 1
artist 1
be 1
cases 1
claude 1
column 1
considers 1
de 1
deal 1
detail 1
detective 2
disguise 1
employee 1
end 1
england 1
first 1
government 1
handsome 1
have 1
he 2
heart 1
helping 1
himself 1
his 2
hopes 1
in 2
is 1
james 1
lemon 1
lizard 1
lounge 1
luttrell 1
madeleine 1
miss 1
not 1
novelist 1
of 2
oliver 1
only 1
others 1
parker 1
personal 1
pyne 3
retired 1
sara 1
second 1
secretary 1
services 1
six 2
solving 1
stories 2
the 5
times 1
to 4
up 1
vacation 1
where 1
while 1
who 1
with 1
work 1
works 1
