10862983
/m/02qsc6h
/m/02qsc6h
Meg Cabot
2007-01
a 5
about 3
along 1
already 1
an 1
and 9
apologize 1
are 1
argument 1
as 1
asks 1
beast 1
beauty 1
before 2
believes 1
benefits 2
best 1
boyfriend 1
break 1
broken 1
but 3
can 2
catches 1
come 1
comes 1
confused 1
constitutes 1
did 1
emails 1
explain 1
extremely 1
find 1
first 1
former 2
friend 1
friends 1
friendship 1
gershner 1
get 2
goes 2
grandmere 1
had 2
happened 1
has 2
having 1
he 6
head 1
her 7
him 3
his 1
idea 1
if 2
im 1
in 3
into 1
is 3
japan 3
jp 3
judith 1
junior 1
just 1
kenny 1
kiss 1
kissing 1
later 1
leads 1
learns 1
leave 1
leaving 1
lied 1
like 1
lilly 3
longer 2
make 1
matters 1
mention 1
mentioned 2
mia 8
michael 9
misled 1
more 2
needs 1
never 1
no 2
not 2
nothing 1
now 2
of 1
off 1
only 1
or 2
passes 1
place 1
plane 1
plants 1
president 1
problems 1
rather 1
relationship 1
say 1
says 2
school 1
see 1
she 9
sleep 1
sleeps 1
sorry 1
speaking 1
spend 1
starts 1
state 1
stay 1
student 1
taken 1
taking 1
tells 2
that 4
the 6
then 1
they 1
thing 1
think 1
this 3
through 1
to 17
together 1
trying 1
up 2
upset 2
want 1
way 1
what 1
when 2
which 1
with 7
wont 1
worse 1
would 1
writes 1
year 2
yes 1
