1085154
/m/044p9c
/m/044p9c
Alan Hollinghurst
2004
{"/m/04tkhfk": "Gay Themed", "/m/065q54": "LGBT literature", "/m/0cgx58": "Gay novel", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
180s 1
183 1
a 12
accept 1
after 1
aids 1
and 14
are 2
as 1
at 3
attached 1
backdrop 1
background 1
become 1
begin 1
begins 1
best 1
between 1
bipolar 1
black 1
book 2
britain 2
british 1
businessman 2
but 1
cat 3
class 1
classmate 1
college 1
come 1
conclusion 1
council 1
crisis 2
daughter 2
down 1
early 1
election 1
emerging 1
end 1
english 1
expelled 1
experiences 1
explores 2
extent 1
family 2
fedden 2
feddens 5
first 3
for 2
forming 1
france 1
friend 1
from 2
gay 2
gerald 1
getting 1
graduate 1
guest 2
has 3
he 3
helps 1
her 2
him 1
his 6
holiday 1
holidays 1
home 3
homosexuality 1
house 1
household 1
hypocrisy 1
illuminates 1
in 8
indefinitely 1
intimate 1
into 1
is 7
it 2
jewish 1
justelected 1
landslide 1
last 1
later 1
leave 1
lebanese 1
left 1
leo 1
life 1
london 2
luxurious 1
madness 1
materialism 1
meant 1
member 1
mentioning 1
mid180s 1
middleclass 1
minor 1
moves 1
mp 1
never 1
nick 9
novel 2
observing 1
of 14
on 3
only 1
own 3
oxford 2
parents 2
parliamentary 1
participates 1
parties 1
permanent 1
place 1
protagonist 1
rachel 1
realities 1
relationship 2
reluctant 1
remains 1
return 1
rich 1
romance 1
ruthlessness 1
set 1
sexuality 1
short 1
shortly 1
since 1
son 2
stay 2
story 1
studies 1
successful 1
suggest 1
summer 1
surrounds 1
tension 1
that 1
thatcher 1
thatcherite 1
the 30
them 1
themes 1
they 1
through 1
time 2
to 7
toby 3
tory 1
university 2
until 1
upper 1
victory 1
wani 1
wealth 1
wealthy 2
when 1
which 1
while 1
who 2
whom 1
whose 1
with 6
worker 1
world 1
year 1
young 1
