467114
/m/02czyr
/m/02czyr
Elmore Leonard
1976
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10 1
a 8
able 1
about 1
after 1
against 1
almost 1
always 1
amount 1
an 2
and 9
anyone 1
are 2
armed 4
associate 1
awhile 1
back 1
bar 3
bars 1
be 2
because 1
big 1
bum 1
business 2
but 1
by 2
call 1
car 4
caught 1
chance 1
count 1
crime 1
deliberately 1
disastrous 1
dollars 1
dress 1
earn 1
ernest 1
etc 1
even 2
everyday 1
extremely 1
falling 1
five 1
flash 1
follow 1
foolproof 1
for 5
frank 3
gas 1
getting 1
go 2
golden 1
hangout 1
have 1
honest 1
in 4
inevitably 1
introduces 1
is 3
job 1
jr 1
junkie 1
just 1
known 1
least 1
less 1
like 1
liquor 1
look 1
madeup 1
money 1
more 2
most 1
moved 1
name 2
nameunless 1
necessary 1
never 10
not 1
of 2
old 1
on 1
once 1
or 3
out 1
own 1
partner 1
pays 1
people 1
perform 1
plan 3
please 1
polite 1
predictably 1
prevent 1
prove 1
results 1
risk 1
rob 1
robbed 1
robber 1
robberies 1
robbery 3
rules 4
ryan 1
salesman 1
say 2
score 1
see 1
simple 1
start 2
stations 1
statistics 1
stick 2
stickley 1
stores 1
successful 2
supermarkets 1
suspicious 1
take 1
tell 2
testifying 1
than 1
thank 1
that 1
the 15
their 1
them 1
they 5
thief 1
thinks 1
this 1
thousand 1
three 1
to 6
up 1
use 2
used 1
wayside 1
week 1
well 1
were 1
when 1
who 2
window 1
with 3
women 1
you 3
your 4
