22644015
/m/05zmmr3
/m/05zmmr3
Michael Connelly
2009-05-12
16yearold 1
a 36
abasiophilia 1
able 1
about 3
abused 1
accepts 1
access 1
admits 1
after 2
agent 1
agents 2
agrees 1
all 2
alone 1
alonzo 3
also 2
ambitious 1
ambush 1
ambushes 1
america 1
an 4
and 32
angela 8
angeles 1
appearance 1
are 1
arizona 2
around 1
arrival 1
arrives 1
as 7
assistant 1
at 3
attorney 1
back 1
backup 1
bad 1
bag 2
battle 1
be 2
beat 1
beautiful 1
because 2
bed 1
been 1
before 2
begins 1
being 2
believes 1
bill 2
bin 1
body 4
books 1
both 3
braces 2
brief 1
brutally 1
burlap 1
bury 1
but 4
buys 1
by 9
call 1
calling 1
calls 1
cannot 2
car 1
cards 1
carver 14
case 3
causes 2
cell 1
ceo 2
chases 1
chief 1
classic 1
cleared 1
client 2
clients 2
closes 1
cnn 1
coffee 1
colocation 1
coma 1
comatose 1
coming 1
committed 1
company 1
concerning 1
concluded 1
confessed 2
containing 1
convict 1
convicted 1
cook 1
cop 1
cowboy 1
cracks 1
creates 1
credit 1
crime 1
crisis 1
dancer 1
dancers 1
data 1
day 4
dead 1
deal 1
dealer 1
death 2
decides 1
deduces 2
deep 1
defense 1
denslow 2
detective 1
directly 1
disappeared 1
disbelieving 1
disciplinary 1
discoveries 1
discuss 1
discussion 1
doesnt 1
door 1
down 1
drive 1
drug 1
due 1
during 3
editor 1
electronic 1
email 1
emergency 1
ended 1
epilogue 1
even 1
events 1
everyone 1
evidence 6
examines 1
except 1
exotic 2
fake 3
farm 6
fbi 10
featured 1
feelings 1
figures 1
files 1
financial 1
find 4
finding 1
finds 4
firms 1
floor 1
focuses 1
foiled 1
following 1
for 3
forced 1
former 1
fred 1
freddie 1
freed 1
from 3
fulltime 1
gasoline 1
gave 1
get 1
giraffes 1
girlfriend 1
given 2
gives 1
goes 1
goodbyebut 1
graduate 1
guest 1
had 3
hallway 1
handled 1
has 4
hasnt 1
he 20
head 3
headed 1
heads 2
hearing 1
help 2
her 10
herself 1
high 1
him 8
his 19
hotel 3
house 1
however 3
identical 1
identify 1
identities 1
immediately 1
imprisoned 1
in 25
including 1
information 1
inside 1
instead 1
intercepts 1
internet 1
iron 1
is 10
it 3
jack 26
jet 1
job 1
join 1
just 2
kidnapped 1
kill 1
killed 1
killer 4
killers 1
killings 1
kills 1
knew 1
known 1
knows 1
la 4
laid 1
las 1
last 1
laundry 1
law 1
learn 1
learns 3
leaving 1
leg 2
legal 1
length 1
lengthy 1
letter 1
like 2
linked 1
links 2
local 1
location 1
lockdown 1
loneliest 1
long 1
looks 1
los 1
luck 1
maidens 1
major 1
maneuvers 1
mcevoy 1
means 1
medical 1
meet 1
meets 1
method 1
missing 1
mit 1
more 1
mother 1
murder 3
murdered 1
murderer 3
murders 2
must 1
name 1
near 2
neck 1
needed 1
nevada 2
newspaper 1
next 3
no 1
none 1
nonpublic 1
nor 1
not 3
notes 1
of 19
office 1
officer 1
on 7
one 2
online 1
only 1
opens 1
other 2
out 1
over 2
own 1
oz 1
part 2
participant 1
passes 1
password 1
performing 1
permanent 1
permitting 1
persuades 1
perversion 1
phoenix 1
phone 2
picture 1
plan 1
plane 2
plastic 2
plays 1
police 1
pose 1
potential 1
prison 2
prisoner 1
private 1
problems 1
profile 1
promptly 2
prosecution 1
pseudonym 1
put 1
quit 1
rachel 17
radar 1
raped 1
rapemurder 1
real 3
realizes 1
recent 1
referred 1
regain 1
relationship 1
remote 1
replacement 1
report 1
reporter 1
represented 1
rescind 1
rescues 1
research 2
researching 1
resign 1
return 1
reveal 1
revealed 1
road 1
role 2
room 4
rope 1
round 1
sack 1
same 1
say 1
scarecrow 3
security 1
see 1
seemingly 1
sees 2
send 1
serial 2
server 5
services 1
set 1
sexually 1
she 4
shoots 1
shop 1
shows 1
shut 1
sideburns 5
similar 3
site 3
sites 1
slots 1
so 2
spoken 1
state 1
staying 1
stealing 2
still 1
stone 8
story 5
stuffed 1
style 1
suffocate 1
summoned 1
surmise 1
take 1
taken 1
talk 1
team 1
tells 2
termination 2
testimony 1
that 26
the 77
theft 1
their 2
them 2
then 6
there 2
they 5
this 1
though 1
thoughts 1
threat 1
through 1
throwaway 1
tied 1
times 4
to 45
told 1
took 1
top 1
toward 1
trail 1
train 1
trap 3
tries 1
trip 1
trunk 2
turns 1
two 2
twobook 1
types 1
unconscious 1
uncover 1
under 3
unfortunately 1
until 1
unwittingly 1
up 1
use 1
used 2
using 1
vegas 4
victims 4
walling 1
wants 1
warn 2
was 2
watched 1
watches 1
way 1
wear 1
webcam 2
weeks 1
were 6
wesley 1
when 6
where 1
which 1
while 1
who 5
whom 2
whose 1
will 1
winslow 1
with 10
wizard 1
women 1
work 1
write 3
years 1
young 1
