3878615
/m/0b4q1y
/m/0b4q1y
Iain Banks
1997
a 8
abandon 1
abel 10
actions 1
almost 1
along 1
ambivalent 1
an 1
ancestral 1
and 14
are 1
aristocrat 1
artillery 1
as 2
attacks 1
back 1
base 1
been 1
break 1
but 1
by 3
castle 4
civil 1
counterattack 1
deathwish 1
decide 1
described 1
describes 1
destroy 1
direct 1
disgraced 1
does 1
down 1
ending 1
faction 1
family 2
fighters 1
first 1
for 1
fortify 1
frightening 1
graphically 1
group 1
happening 1
happens 1
has 1
he 1
her 1
his 1
home 2
in 5
incest 1
indeterminate 1
intertwined 1
invaders 1
irregulars 1
is 7
join 1
just 1
karma 1
killed 1
know 1
later 1
led 1
lieutenant 2
lifelong 1
like 1
live 1
lives 1
loot 6
lyrical 1
memorial 1
morgan 4
mostly 1
names 1
nihilistic 1
normal 1
not 1
of 8
on 1
or 1
person 2
place 1
pompous 1
proceed 1
psycho 1
rather 1
reader 1
realise 1
refugees 1
retainer 1
return 1
rival 1
rules 1
ruthless 1
safety 1
second 1
seduced 1
seeking 1
seems 1
servant 1
she 1
shoots 1
small 1
society 1
soldiers 2
song 1
stone 1
stops 1
story 2
submissive 1
suggests 1
surname 1
systematically 1
taken 1
takes 1
tells 1
that 1
the 21
their 1
them 2
themes 1
there 1
they 3
time 1
to 4
told 1
vacuous 1
view 1
violence 2
violent 1
war 3
what 2
when 4
which 1
who 1
with 4
