622600
/m/02p2jdp
/m/02p2jdp
Patrick O'Brian
1980
{"/m/05ndg1r": "Naval adventure", "/m/0hwxm": "Historical novel"}
a 20
able 1
aboard 5
absence 1
accompanied 3
across 1
action 2
adhemar 1
admiral 1
admiralty 1
after 4
again 1
agency 1
agent 1
agreeing 1
also 2
american 3
americans 1
an 5
and 21
any 1
approached 1
are 6
ariel 4
arranges 1
as 3
assistant 1
at 5
attempts 2
aubrey 6
avifauna 1
away 2
babbington 2
baby 1
back 1
baltic 1
banks 1
base 1
beached 2
blasts 1
blue 1
board 1
book 1
boston 1
break 1
breaks 1
brief 1
british 3
brittany 1
buoyed 1
but 1
by 10
calais 1
capture 2
carriages 1
carronades 1
cartel 1
catalan 3
caught 2
cell 1
channel 1
chase 3
checkmate 1
chess 1
child 1
chronicle 1
city 1
cloaked 1
clubhaul 1
colonel 1
commanded 1
commissioned 1
course 1
cum 1
damage 1
danger 1
danglars 1
danish 1
dark 1
daylong 1
de 1
dead 1
deceive 1
decides 1
defeated 1
defect 1
diamond 1
diana 5
different 1
distinct 1
doggedly 1
down 2
dubreuil 1
duhamel 5
dullastret 1
efforts 1
embarks 1
end 1
ends 1
england 2
english 2
enough 1
entendre 1
enter 1
escaped 1
espionage 1
eventually 1
expedition 1
extinct 1
fictitious 1
fifty 1
finally 1
finds 1
for 3
foreign 1
fortress 2
fortuitously 1
four 1
french 4
frenchmen 1
friend 1
from 4
gain 1
garrison 2
getting 1
give 1
given 1
gives 1
giving 1
godfather 1
government 1
grand 1
great 2
grimsholm 1
grimsholmen 1
halifax 1
hands 1
handsome 1
harry 1
has 3
hatched 1
having 1
he 1
help 2
her 7
herself 1
highly 1
his 3
hits 1
iceberg 1
identify 1
ie 1
immense 1
imprisoned 1
imprisonment 1
in 15
institut 1
intelligence 2
interrogated 1
interrogation 1
interrupted 1
invitation 1
is 8
island 2
it 1
its 2
jack 6
jagiello 2
james 1
jason 1
johnson 3
journey 1
just 1
keen 1
killer 1
king 1
la 1
landed 1
learn 1
lithuanian 1
loaded 1
location 1
losing 1
lost 1
lyingin 1
manages 1
married 2
mate 2
maturin 8
meantime 1
meduse 3
merchantman 1
miles 1
minister 1
ministry 1
minnie 1
mission 1
monsieur 1
morning 1
mothe 1
much 1
nature 1
naval 1
newspapers 1
next 1
nights 1
nova 1
oedipus 1
of 11
off 1
offer 1
offerings 1
officer 1
officers 2
official 1
officials 1
on 6
once 2
one 1
order 1
out 3
owing 1
pace 1
packet 2
paris 3
peace 1
period 1
persuade 1
peter 1
places 1
plan 1
pontetcanet 1
pregnant 1
presumably 1
pretend 1
prison 2
prisoners 1
privateer 2
privy 2
proposes 1
pursue 1
pursuing 1
ramon 1
read 1
receives 2
reference 1
referring 1
release 1
remarkably 1
represent 1
reserve 1
return 2
rodriguez 1
safely 1
saumarez 1
schooners 1
scotia 1
second 1
secure 1
senior 1
ship 4
ships 1
shore 2
sight 1
sir 1
slowing 1
some 2
spanish 1
speak 1
spies 1
spirited 1
spirits 1
spots 1
spymaster 1
start 1
starts 1
stay 1
stephen 10
stone 1
storm 1
stormy 1
story 1
strategic 1
successful 2
suffering 1
surgeon 2
swift 1
take 1
taken 2
talented 1
talleyrand 1
temple 1
term 1
terms 1
than 1
that 2
the 48
their 5
them 2
they 2
this 1
through 1
title 1
to 29
transport 1
triple 1
troops 1
turns 1
two 3
twodecker 1
until 1
up 4
use 1
villiers 2
visit 1
waiting 1
warm 1
warmly 1
weather 1
welcome 1
welcomed 1
which 1
who 4
wife 1
william 1
wind 1
with 6
without 1
young 1
