9990494
/m/02pz145
/m/02pz145
Jack Vance

1 1
1500 1
a 22
abandon 1
aboard 2
about 1
acquaintance 1
after 1
afterwards 1
alien 1
all 1
along 1
amiante 3
an 3
ancient 1
and 22
appealingly 1
are 2
arrested 1
arrived 2
artisans 1
artwork 1
as 1
attacked 1
attempted 1
attends 1
attractive 1
audience 1
authorities 1
away 3
back 1
ball 1
be 1
beaten 1
became 1
because 1
become 1
before 2
behavior 1
best 1
boy 1
bred 1
broadcast 1
but 4
buy 1
by 9
captives 1
cargo 1
caught 2
centuries 1
chance 1
charges 1
civilization 1
comes 1
company 1
compromise 1
constraints 1
controlled 1
crimes 1
curiosity 1
damaran 2
damarans 5
date 1
daughter 1
days 1
death 1
deaths 1
deduces 1
departed 1
departure 1
devastated 1
discovers 1
disguised 1
dissatisfied 1
documents 1
drama 1
duplicating 1
earlier 2
earth 1
eight 1
emphyrio 3
encounters 1
end 1
enemy 1
entertainment 1
escaping 1
eventually 1
execution 2
extracts 1
father 3
fellow 1
few 1
fighting 1
finally 1
financing 1
finds 1
firsthand 1
fleet 1
follows 1
for 8
forced 1
forces 1
forcing 1
forefathers 1
forthcoming 1
fortune 1
found 1
four 1
friend 1
friends 1
from 2
ghyl 10
girl 3
goes 2
granted 1
grows 1
guides 1
had 3
halma 5
handmade 1
has 1
have 1
he 15
head 1
her 1
hero 1
hijack 1
him 3
his 12
historical 1
history 1
hold 1
homeworld 1
horrible 1
however 3
human 1
humans 1
hundred 1
illegally 1
importance 1
in 7
informs 1
institute 1
into 1
invaders 1
is 17
it 2
its 1
kidnappers 1
killed 1
knows 1
lands 1
later 3
learns 2
leave 1
leaving 2
left 1
legendary 1
leverage 1
listened 1
lord 1
lords 5
lovers 1
made 1
manufacturing 1
many 1
mass 1
master 1
means 1
message 1
monumental 1
moon 3
more 1
museum 1
name 1
negotiate 1
night 1
no 2
notices 1
now 1
odd 1
of 11
on 7
one 3
only 2
opposition 1
original 1
other 2
out 3
outlawed 1
owner 1
part 1
particular 1
passengers 1
passes 2
pay 1
payment 1
peace 1
people 2
persuades 1
pittance 1
place 1
planet 2
points 1
possible 1
priceless 1
proprietor 1
puppet 1
ransom 2
reach 1
realize 1
reason 1
rebuilt 1
recognized 1
refuge 1
relationship 1
release 2
reproduction 1
resort 1
rest 1
resulting 1
return 1
ruled 1
same 2
scheme 1
second 1
see 1
seeing 1
sees 1
sell 1
selling 1
sells 1
sentenced 1
several 1
shanne 2
she 4
ship 2
shop 2
show 1
single 1
slavery 1
slips 1
sneak 1
sneaked 1
society 1
some 2
something 1
son 1
soon 3
space 2
spacefaring 1
stars 1
steals 1
stopped 1
struck 1
take 1
taken 1
takes 1
talks 1
tarvoke 1
tax 1
tells 1
than 1
that 7
the 44
their 7
them 2
then 3
there 2
they 6
third 1
this 1
though 1
threatens 1
three 1
thrown 1
time 4
to 22
trade 1
traditional 1
travel 1
true 1
truth 1
twice 1
two 1
undetected 1
uneasy 1
unwitting 1
up 1
venture 1
violent 1
visits 2
wants 1
warehouse 1
warriors 2
wars 1
was 2
way 1
were 2
when 2
while 2
whose 1
willing 1
with 6
woman 1
woodcarver 1
work 1
works 2
world 1
yacht 2
years 3
young 1
