21295073
/m/05fbl0k
/m/05fbl0k
Ting-Xing Ye
2000-06-01
187 1
a 9
abort 1
about 1
abuse 1
accepted 1
access 1
addition 1
address 1
age 1
along 1
also 1
and 10
apart 2
as 6
assigned 1
attempt 1
avoid 1
be 1
beat 1
became 2
before 2
beijing 2
being 1
bell 1
both 1
branded 1
by 3
canada 2
canadian 3
capitalists 1
changing 1
child 1
children 1
china 4
chinese 2
citizen 1
city 1
clear 1
close 1
communist 1
contact 2
continues 1
cramped 1
cultural 3
custody 1
daughter 6
day 1
defected 2
delegations 1
denied 1
describes 1
describing 1
descriptions 1
did 1
died 1
dignitaries 1
do 1
domestic 1
down 1
during 5
e 1
elizabeth 1
ends 1
english 2
estranged 1
eventually 1
factory 1
family 1
farm 1
fell 1
first 2
for 3
forced 1
foreign 1
fourth 1
friend 1
from 3
front 1
fully 1
gaining 1
good 1
government 1
guise 1
had 3
her 21
him 2
hoping 1
how 2
however 1
humiliating 1
husband 5
ii 1
imelda 1
in 7
increasingly 1
insisted 1
intend 1
into 1
it 2
labor 1
later 2
leave 2
left 1
life 1
living 1
love 1
male 1
marcos 1
marriage 1
members 1
memoir 1
millions 1
ministry 1
moving 1
name 1
new 1
not 2
of 11
on 1
one 3
other 1
owner 1
paid 1
parents 1
periods 1
permanently 1
permission 1
permitted 2
persecuted 1
policy 2
possibility 1
postgraduate 1
pregnancy 1
prison 1
psychological 1
quarters 1
queen 1
reagan 1
reform 1
remaining 1
repeatedly 1
return 1
revolution 3
ronald 1
scholarship 1
second 1
secret 1
sent 1
share 1
she 7
siblings 1
significant 1
so 1
spent 1
studied 1
studies 2
subjected 1
such 1
suffered 1
take 1
teacher 1
that 2
the 16
their 1
then 1
thirteen 1
time 1
tingxing 1
to 20
tore 1
torture 1
translator 1
under 1
university 2
was 6
were 1
west 1
when 2
where 2
william 1
with 5
writes 1
ye 14
youths 1
