2620544
/m/07s8p9
/m/07s8p9
Chinua Achebe

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 16
abortion 2
accept 1
accepting 1
acknowledgement 1
after 3
afterwards 1
all 1
almost 1
although 1
an 3
and 11
another 1
arranges 1
arrested 1
as 1
at 1
back 1
before 1
begins 1
begs 1
board 1
breaks 1
bribe 5
bribes 1
bringing 1
british 1
but 2
by 3
can 1
charge 1
christian 1
cities 1
clara 7
closes 1
collection 1
colonial 1
complications 1
cost 1
customs 1
dance 1
death 2
deathbed 1
deep 1
deeper 1
departure 1
depression 1
descendants 1
describe 1
desire 1
developing 1
discover 1
disobeys 1
due 4
during 1
educations 1
end 1
ended 1
engagement 1
england 2
english 1
eschew 1
even 1
events 2
eventually 1
father 1
favors 1
financial 1
first 1
for 6
forward 1
four 1
friend 1
funeral 1
girl 1
go 1
group 1
have 2
he 8
hearing 1
heathen 1
help 1
her 4
herself 2
him 2
himself 1
his 13
home 1
hope 1
how 1
if 1
igbo 2
illegal 1
immediately 1
implies 1
in 8
indignantly 1
informs 1
intent 1
intimates 1
into 2
is 9
it 4
its 1
job 1
joseph 1
jumps 1
kill 1
lagos 1
last 1
law 1
left 1
little 1
live 1
lives 1
loan 1
major 2
man 1
marry 2
marrying 1
meaning 1
meets 1
members 1
men 1
mother 2
navigate 1
need 1
nigeria 3
nigerian 2
not 2
novel 2
obi 16
obtain 1
of 13
offer 2
offered 1
okeke 2
okonkwo 1
on 5
once 1
one 1
only 1
opened 1
opens 1
operation 1
opposes 1
osu 1
outcast 1
part 4
pay 1
people 2
planning 1
point 1
poor 1
precolonial 1
pregnant 1
progress 1
progressive 1
recovers 1
refuses 2
rejects 2
relationship 1
reluctant 1
reluctantly 2
remains 1
repay 1
return 1
returns 1
reveals 1
romantic 1
same 1
scholarship 3
see 1
send 1
sexual 1
she 4
siblings 1
sinks 2
sister 1
society 1
sting 1
story 1
studies 1
study 1
suffers 1
switches 1
take 1
taken 1
takes 2
tells 1
that 9
the 27
their 1
then 1
there 1
these 1
threatening 1
time 3
to 25
traditional 1
trial 2
trouble 1
trying 1
umuofia 1
under 1
undergoes 1
union 1
until 1
up 3
upu 2
us 1
villages 1
visited 1
was 1
way 2
ways 1
when 3
which 1
while 2
who 4
will 3
with 5
woman 1
works 1
world 1
years 1
