21772786
/m/05mt7td
/m/05mt7td

2004
{"/m/05h83": "Non-fiction"}
11 1
13 1
14 1
15 2
17 1
18 1
180s 1
2000 1
2001 1
a 2
accords 1
after 2
agreed 1
agreement 2
alassad 1
an 1
and 9
anecdote 1
arafat 2
as 4
assassination 2
barak 1
before 1
beginning 1
begins 1
benjamin 1
between 1
book 1
brief 1
british 1
by 1
camp 1
chapters 1
clinton 2
coming 1
conference 1
conflict 1
continues 1
covers 1
david 1
days 1
deal 1
dedicated 1
diplomatic 1
ehud 1
election 1
emergence 1
end 1
fall 1
fallout 1
followed 1
from 2
giving 1
gulf 1
hafez 1
he 1
hebron 1
his 1
history 1
in 4
interim 1
intifada 1
involvement 1
israeli 1
israelipalestinian 1
israeljordan 1
its 1
january 1
just 1
later 1
madrid 1
mandate 1
memorandum 1
minister 3
moves 2
negotiations 3
netanyahu 3
november 1
of 9
office 1
on 5
one 1
oslo 1
outbreak 1
own 1
peace 1
period 1
placed 1
president 2
prime 3
priority 1
proceeds 1
rabin 2
recounting 1
returns 1
river 1
roots 1
ross 3
runup 1
second 2
see 1
several 1
succeeded 1
summit 2
syria 1
syrian 1
taba 1
term 1
that 2
the 26
then 2
through 1
to 9
treaty 1
war 1
well 1
with 2
wye 1
yasser 1
year 1
yitzhak 2
