10830967
/m/02qrcy2
/m/02qrcy2
Cynthia Voigt
1981
10 1
13 1
180s 1
6 1
a 25
abandons 1
abigail 1
aborted 1
about 1
adventures 1
advice 1
after 1
afternoon 1
again 1
aged 1
alone 3
along 1
although 1
an 5
and 38
any 2
apparently 1
are 6
around 1
as 6
at 5
attached 1
attempt 1
attempting 1
aunt 5
authorities 1
away 3
back 2
be 2
bears 1
becomes 1
becoming 2
been 1
before 2
begins 2
being 1
believes 1
better 1
between 1
born 2
bridgeport 4
brothers 1
brushes 1
burdened 1
bus 1
bush 1
by 4
camp 1
can 2
cannot 2
captured 1
car 3
care 2
case 1
catatonic 1
catholic 4
center 1
chance 1
charge 1
child 1
children 24
cilla 5
circus 1
college 1
come 1
comes 1
coming 2
completely 1
confesses 1
connecticut 3
continue 1
convent 1
cope 1
cousin 1
crisfield 2
danger 2
daughter 1
day 1
deceased 1
decides 1
deeply 1
despite 1
devout 1
dicey 16
difficult 2
difficulties 1
distant 1
do 2
does 2
doing 1
dream 1
dreams 1
drive 1
driven 1
dropping 1
dunes 1
during 2
early 1
earn 1
earns 1
else 1
emotional 2
emotionally 2
employer 1
end 1
ends 3
enough 1
enter 1
escape 1
eunice 5
eventually 2
extremely 1
fact 1
failures 1
family 9
farm 3
father 2
fears 2
feeds 1
feeling 1
few 1
fights 1
finances 1
financial 1
find 6
finds 1
first 2
firstly 1
foot 2
for 7
foster 1
four 5
fraught 1
frightened 1
frightening 1
from 4
fully 1
gets 1
gives 1
go 3
going 2
good 1
grandmother 5
had 4
harbored 1
hard 2
has 3
have 7
haven 1
help 2
helped 1
her 18
herself 3
herthe 1
him 1
his 1
home 10
homecoming 1
homeless 1
homes 1
hope 2
hopefully 1
hospital 1
hours 1
house 4
how 2
however 1
hungry 1
illness 1
important 1
in 21
informed 1
initially 1
instructing 1
interest 1
into 2
is 19
isolation 1
james 3
join 1
journey 4
just 1
keep 1
last 1
learn 1
learning 1
learns 1
leave 1
life 1
like 2
literal 1
live 1
lived 1
lives 2
long 1
longer 1
lose 1
loss 1
lost 2
lot 1
made 1
make 1
makes 1
mall 3
marie 1
maryland 1
massachusetts 1
maybeth 4
meager 1
mean 1
meet 2
member 1
memory 1
mental 1
met 1
middleaged 1
might 1
miles 1
missing 1
momma 4
money 4
more 2
mostly 1
mother 10
mrs 1
much 1
must 3
nearly 1
necessary 1
never 1
new 2
next 2
night 1
not 7
novel 3
nowhere 1
nun 1
of 17
off 2
offer 1
offers 1
often 1
old 1
on 7
one 2
only 4
other 1
out 5
outside 1
over 2
own 1
pain 1
parents 1
park 1
parked 1
parking 1
part 1
peewauket 1
people 1
permanent 1
physically 1
picking 1
planned 1
plans 2
police 1
poor 1
poverty 1
priest 1
provincetown 1
psychiatric 1
put 2
reach 1
reaction 1
realizes 3
realizing 1
recently 1
recovery 1
relative 1
reluctant 1
reluctantly 1
repeating 1
rescued 1
retains 1
retarded 1
reunited 1
ride 1
road 3
roommate 1
rundown 1
runs 1
sad 1
same 1
sammy 5
sanity 1
saying 1
school 1
search 2
second 1
set 2
shattered 1
she 21
shelter 2
shopping 2
shy 1
siblings 2
sister 1
six 1
sleep 1
slowly 1
sneak 1
society 1
some 3
starting 1
state 1
stay 1
stewart 1
story 1
student 1
summer 2
take 1
taken 1
takes 2
taking 1
tells 2
than 1
that 22
the 54
their 19
them 13
themselves 5
there 4
they 12
things 1
thirteen 1
this 2
tillerman 8
to 34
together 1
told 1
tomatoes 1
too 1
trace 1
travel 1
traveling 1
trip 1
truths 1
try 3
trying 1
uncomfortable 1
under 1
understand 3
understood 1
unmanageable 1
unmarried 3
unruly 1
very 1
visit 2
waiting 1
walked 3
was 3
watches 1
way 1
weeks 1
well 2
were 3
what 2
when 3
whenever 1
which 1
while 2
who 5
whose 1
will 3
win 1
windy 2
with 9
without 1
wooden 1
work 1
worked 1
worried 1
would 1
year 1
younger 1
youngest 1
