8294204
/m/026zbtc
/m/026zbtc
Ian Stewart
2000
12 1
214 1
a 27
acquaints 1
advanced 3
advancing 1
after 1
aid 1
alien 6
allows 1
alter 1
altering 1
an 5
anachronism 1
and 29
animal 1
animalhandler 1
annihilationthough 1
another 1
anthropological 1
apparent 1
appropriately 1
aptly 1
arcane 1
archaeologist 1
arguing 1
around 2
artefacts 2
artifacts 1
as 11
assumption 1
asteroid 2
aswan 1
atmosphere 2
authenticity 1
authorities 2
authors 1
avoid 1
avoiding 1
barely 1
be 2
becomes 1
been 2
begins 1
being 1
believes 1
belt 1
belters 1
beltersa 1
between 2
bidder 1
black 1
blimp 1
blimpsintelligent 1
blind 1
bobbing 1
book 1
both 3
bright 1
buddhists 1
bureaucratic 1
buried 1
but 4
by 9
callisto 1
career 3
carefully 1
caretaker 1
cascade 1
catapults 1
central 1
character 1
characters 1
charity 1
charles 1
chronicles 1
circumstance 1
clogged 1
collapse 1
collision 2
comet 4
cometary 1
communication 1
communiqu 1
concludes 1
consequence 1
conspiring 1
contact 1
contacting 1
contemplating 1
contemporary 1
convinced 2
core 1
correct 1
cosmic 1
councilsspend 1
coup 1
course 1
courtesy 1
craft 1
cuckoo 1
culminates 1
dam 1
danger 1
dangerous 1
decrypting 1
devastating 1
die 1
direct 1
direction 1
disassembled 1
discovery 1
discoverya 1
diversionary 1
dunsmoore 9
during 1
earth 9
earthbound 1
embittered 1
encountering 1
encourages 1
end 1
enough 1
enters 1
entirely 1
erroneous 1
establish 1
establishing 1
evidence 1
exodus 1
experience 1
explained 1
exploration 1
extraordinaire 1
extraterrestrials 1
faction 1
fate 2
feeling 1
first 1
firsthome 1
flies 1
flooding 1
foam 1
for 4
form 1
found 1
from 3
fully 1
give 1
government 1
governmental 1
graduate 1
gravity 2
great 1
group 2
grows 1
hacking 1
half 1
halfholder 2
hardship 1
harrowing 1
has 1
have 2
he 1
headed 1
her 4
highest 1
highspeed 1
hijacks 1
him 1
his 7
hitherto 1
home 1
hopes 1
hoping 1
immediately 1
impact 3
important 1
in 12
inauthentic 1
inhospitable 1
innermost 1
instrumentality 2
intelligence 1
intending 1
interplanetary 1
interpret 1
into 4
investigation 1
io 2
is 7
it 2
itself 3
journey 2
jovian 3
jovians 1
jovianswho 1
jupiter 5
knack 1
known 2
kydiving 1
lead 1
leaves 1
left 1
legal 2
lies 1
life 4
lifeforms 2
lifeless 1
lifestyle 1
live 1
living 2
long 1
lover 1
lower 1
main 1
make 1
makes 1
man 1
manages 1
mankind 1
market 1
materializes 1
meeting 1
millions 2
mined 1
mission 1
moon 1
moons 4
moses 2
motion 1
mysteriously 1
name 1
named 1
necessity 1
never 1
nile 1
notice 1
novel 3
now 2
obliquely 1
oddities 1
odingo 5
of 40
off 1
on 7
once 1
one 2
opens 1
orbit 1
orbital 1
order 2
out 3
outer 1
outgassing 1
own 1
part 1
personal 1
personally 1
pilots 1
place 1
plane 1
planet 3
planets 1
plots 1
ploy 1
populated 1
position 1
precipitated 1
preserve 1
presumably 1
presupposition 1
probes 1
professionally 1
profitable 1
progresses 1
prudence 5
push 1
quarrel 1
quirk 1
rage 1
rapport 1
rcv 1
realigned 1
rebel 1
redeemed 1
redirect 1
referenced 1
rely 1
remnants 1
river 1
rogue 1
ruined 1
satellites 1
save 2
saving 1
sciencefiction 1
scientists 2
search 1
second 1
selected 1
sell 1
selling 1
semilegal 1
send 1
sends 2
set 1
sets 1
setting 1
several 1
she 2
simplistic 1
sister 1
smuggling 1
solar 2
sole 1
son 1
species 1
speed 1
sphinx 1
stages 1
story 2
stratosphere 1
student 1
stuffily 1
success 1
successful 1
successfully 1
sulfurous 1
system 3
takes 2
team 4
technology 2
tedious 1
tension 2
terrestrial 2
that 5
the 66
their 2
them 3
thereby 1
these 1
this 4
threat 1
through 1
tick 1
time 1
timing 1
to 22
too 1
total 1
trajectory 1
tribulation 1
trove 1
turbulence 1
two 2
type 1
unbearable 1
uncanny 1
unimportant 1
unknown 2
unseen 1
until 1
upper 1
use 1
vain 1
vicinity 1
violent 1
volatile 1
warned 1
waters 1
way 1
well 1
what 1
wheeled 1
wheelers 3
when 1
which 4
who 3
whose 1
will 1
with 11
without 1
work 1
works 1
world 1
worlds 1
worldwide 1
year 1
years 3
yet 1
young 1
zen 1
