10332190
/m/02q8r7p
/m/02q8r7p
Geoffrey Trease
1940
14yearold 1
2 1
a 22
ability 1
accepted 1
accident 1
across 1
acting 1
actor 2
actors 1
acts 1
actually 1
adventures 1
after 3
against 1
ahead 1
also 2
an 4
and 26
another 1
apprentices 1
are 6
army 1
as 3
assassinate 1
associates 2
at 3
attack 1
audience 1
avoid 1
away 2
back 3
be 2
before 2
behind 1
being 1
body 1
boy 3
boyd 1
boys 1
breaks 2
brownrigg 1
burbage 1
but 6
by 9
called 1
can 1
captives 1
captured 2
carried 1
cart 1
chamberlain 1
chase 1
clue 1
code 1
coffin 1
company 8
conspiracy 2
conspirators 1
contain 1
copy 1
costumes 1
cumberland 2
custody 1
dash 1
decipher 1
deserted 1
desmond 4
desmonds 2
desperate 1
discover 2
discovers 1
disguise 2
dismount 1
dress 1
drums 1
during 2
edward 1
elizabeth 1
encounters 1
england 2
escape 1
escapes 1
evidently 1
excellent 1
exceptional 1
farmland 1
fells 1
female 1
fight 1
finishes 1
first 2
follow 1
followers 1
for 2
forced 1
found 1
from 2
gentleman 1
gift 1
girl 1
give 1
go 2
goes 1
guard 1
guards 1
has 1
he 13
head 1
hearing 1
henry 3
her 2
hides 1
hiding 1
him 2
his 7
horses 2
house 1
how 1
idea 1
ii 1
iii 1
in 18
inheritance 1
initially 1
install 1
intending 1
interested 1
into 1
involved 1
is 14
islet 1
it 2
jealousy 1
john 2
joins 1
juliet 1
katharine 1
killed 1
kindly 1
king 1
kirkstone 1
kit 13
knock 1
lakeside 1
last 1
later 1
leads 2
league 1
learn 1
learning 1
leaves 1
leg 1
like 1
lives 1
living 1
local 1
london 3
lord 1
magistrate 1
mainland 1
make 1
manages 1
marriage 1
married 1
meet 2
meeting 1
men 2
mimicry 1
moments 1
morton 2
mr 1
must 1
narrowly 1
new 2
night 1
no 1
north 1
not 1
notices 1
now 1
odd 1
of 18
on 6
one 1
only 1
out 1
overhears 1
paragraph 1
part 3
peel 1
penrith 1
perform 1
performance 2
peter 17
philip 10
plan 1
plans 1
play 2
players 1
playing 3
plays 1
playwright 1
plot 1
poem 2
pretend 1
profit 1
promise 1
prop 1
prosecution 1
protest 1
proves 1
quality 1
queen 6
questioning 1
ready 1
realizes 1
really 1
recognises 1
regime 1
rehearsing 1
rest 2
richard 2
ride 1
rig 1
river 1
road 1
rock 1
roles 1
romeo 1
run 1
running 1
russell 1
script 2
secret 3
see 1
service 1
shakespeare 2
shoot 2
sir 10
so 1
soldier 1
some 1
somers 2
sound 1
spain 1
spies 1
steal 1
stealing 1
stolen 1
stop 1
story 1
supposed 1
swims 1
take 2
taken 2
tell 1
that 4
the 40
theatre 1
theft 1
their 3
then 1
they 5
this 2
throwing 1
to 29
tom 2
touring 1
tower 1
travel 1
treasonous 1
trumpets 1
turned 1
ullswater 1
underlined 1
understudy 1
unexpectedly 1
unpublished 1
up 2
v 2
vague 1
various 1
vi 1
village 3
vows 1
warn 1
we 1
when 1
which 3
while 2
who 6
wider 1
will 1
william 1
with 4
words 1
worry 1
writing 1
written 1
yellow 1
youngsters 1
