9613344
/m/02plw0d
/m/02plw0d
Ben Mezrich


100 1
12 1
13 1
14 2
15 2
17 1
225 1
350 1
a 20
about 1
accordingly 1
accounting 2
addition 1
after 2
again 1
against 2
ahead 1
all 2
allstarivy 1
also 1
alum 1
an 3
and 16
another 1
anything 1
april 1
arbitrage 1
arrived 1
as 4
asia 1
assigned 1
at 1
bank 1
barings 3
be 1
became 1
bermuda 1
bet 2
book 1
bookmalcolm 1
both 1
brief 1
but 2
buy 2
buying 1
called 1
captured 1
career 1
carney 9
cash 1
century 1
characters 1
charter 1
college 1
coming 1
company 1
contact 1
contacted 1
contribution 1
corporate 1
cost 1
court 1
covered 1
created 1
cutbacks 1
cyberworks 1
day 1
deal 5
dean 1
devastating 1
did 5
directors 1
discovered 2
disillusioned 1
do 1
does 1
dollars 2
dow 1
downward 1
dramatically 1
dropped 1
due 1
during 1
earthquake 1
east 1
economy 1
effects 1
eight 1
electric 1
elements 1
employ 1
encountered 1
ending 1
english 1
enormous 1
enough 1
equivalent 1
even 1
event 1
exchange 1
exchanges 1
executive 1
exhibition 1
expat 1
expected 3
finance 1
firm 2
firms 1
five 1
following 1
football 2
for 6
founded 1
founder 1
from 1
front 1
fugitive 1
fund 8
funds 1
general 1
glitch 2
going 1
government 1
gunslinger 1
had 4
hang 1
he 7
heads 1
hedge 2
held 1
help 1
hightech 1
him 2
his 5
hong 4
hot 1
however 1
huge 2
hundred 1
ie 1
if 2
in 14
include 1
index 3
industry 1
intertwines 1
into 3
involving 1
is 1
it 3
its 4
ivy 1
january 2
japan 3
japanese 3
jett 2
job 4
jobs 1
john 1
jones 1
joseph 1
justifies 1
key 1
kidder 1
kids 1
known 3
kobe 1
kong 4
kp 3
large 1
larger 1
lasted 1
league 1
leaves 1
leeson 3
li 1
light 1
losses 1
made 5
main 1
make 1
making 1
malcolm 13
malcolmneither 1
malfeasance 1
managers 1
managing 1
masterfully 1
match 1
meant 1
meanwhile 1
merged 1
mezrich 1
million 5
months 1
more 1
named 1
narrative 1
nick 1
nikkei 4
no 1
not 5
of 17
offexchange 1
office 1
on 8
one 3
operations 1
or 1
orders 1
osaka 1
osakabased 1
other 1
out 4
pacific 1
pan 1
parent 1
pcc 6
peabody 1
period 2
place 1
play 1
players 1
position 3
pressure 1
price 2
primarily 1
princeton 2
prison 1
private 1
pro 1
pseudonym 1
purchases 4
quite 1
receivership 1
recover 1
responsibility 1
restructuring 1
result 1
richard 1
rise 1
role 1
running 1
save 1
search 1
second 1
see 1
semiretirement 1
seng 1
separate 1
settled 1
several 2
sex 1
short 2
similar 1
singapore 1
so 2
society 1
soon 1
star 2
still 1
stock 6
street 1
strong 1
suggested 1
suggestion 1
superior 1
sweeping 1
team 1
telecom 1
terms 1
than 1
that 5
the 38
their 3
then 2
thered 1
they 1
this 10
though 2
through 1
throughout 1
time 3
to 10
tokyo 2
took 3
tracker 4
tracking 1
trader 1
traders 3
trades 1
trading 3
trickerywere 1
trip 1
turns 1
twenty 2
two 1
unauthorized 1
under 1
university 1
until 1
venerable 1
visit 1
wall 1
was 8
ways 1
went 3
were 2
western 1
when 3
where 2
which 2
whom 1
widely 1
winning 1
with 5
won 1
work 1
worth 1
would 1
yakuza 1
young 1
