32559822
/m/0h1btxq
/m/0h1btxq
Camilla Läckberg
2003
2 1
a 9
about 3
after 1
alex 2
all 1
alleged 1
also 1
an 1
and 2
answer 1
apartment 1
around 1
as 1
at 1
authorthe 1
barely 1
bathtub 1
beautiful 1
became 1
before 1
begins 1
being 1
below 1
beyond 1
biography 1
breakthrough 1
but 2
by 1
came 1
camillas 1
centralheating 1
characters 1
climate 1
coast 1
coldheart 1
come 1
comes 1
continues 1
crystalline 1
dalliance 1
daughter 1
deep 1
demise 1
demiseshe 1
described 1
detective 1
deus 1
did 1
domicile 1
droplets 1
dropped 1
easy 1
effects 1
either 1
embarks 1
erica 6
even 1
ex 1
exactly 1
falck 1
family 1
far 1
fascination 1
faster 1
female 1
fiction 1
first 2
fjllbacka 1
for 2
forever 1
freeze 1
freezing 1
friendship 1
frozen 1
furnace 1
genius 1
gives 1
granted 1
grows 1
h20 1
hair 1
has 1
have 1
heat 1
her 7
home 1
hubris 1
ice 1
iceso 1
icy 1
in 11
incompetent 1
initial 1
inside 1
inspector 1
into 1
investigating 1
is 5
lagerlf 1
light 1
liquid 1
literature 1
long 1
lose 1
lower 2
machinabut 1
magnetism 1
many 1
max 1
meets 1
mellberg 1
memoir 1
missing 1
mystery 1
never 1
nobel 1
nonetheless 1
not 1
novel 1
obsessionand 1
occasional 1
occurred 1
of 4
officer 1
on 2
one 1
or 1
outoforder 1
parents 2
particular 1
particularly 1
patriks 1
plot 1
police 2
prefer 1
princess 1
prize 1
project 1
prompting 1
propped 1
questions 1
quickly 1
registers 1
returned 1
secrets 1
selma 1
serious 1
she 3
show 1
so 1
solid 1
sorting 1
subzero 1
such 1
sufferingthe 1
suicide 1
swedish 2
synopsis 1
take 1
tear 1
temperature 2
tests 1
that 5
the 19
their 3
this 2
through 1
thus 1
timely 1
to 7
together 1
torso 1
town 1
tragic 1
trying 1
tub 1
turned 1
two 1
uncontrollable 1
uncover 1
unpleasant 1
visualizes 1
walloping 1
was 2
way 1
we 1
when 2
whilst 1
who 1
will 1
win 1
without 1
womans 1
work 1
would 4
writer 1
writing 1
young 1
