230096
/m/01hgx_
/m/01hgx_
Roger Zelazny
1978
a 34
able 2
about 5
abyss 3
accompanied 1
according 1
across 1
active 1
advance 1
adventures 1
after 2
afterward 1
aghast 1
aid 1
alive 1
all 2
allegiance 1
allow 1
along 1
also 1
although 3
amber 7
amberites 1
ambushes 1
an 3
and 56
angry 1
apart 2
appears 3
approaches 1
archangel 2
arden 1
are 7
area 1
arm 2
armies 1
armour 1
arms 1
around 1
arrives 7
arrows 1
as 18
asks 2
asleep 2
at 5
attack 2
attempts 1
attitudes 1
attunement 2
authority 2
awakes 2
away 1
back 1
bad 1
bargained 1
battle 1
be 2
bear 1
beasts 1
become 1
becomes 1
been 2
before 3
begin 2
begins 3
being 1
benedict 4
between 1
black 3
blessing 2
blocked 1
blood 3
borel 2
both 1
boulder 1
bound 1
boundary 1
bow 1
branch 1
brand 12
breathes 1
but 14
by 7
caine 1
can 3
cant 1
case 1
castle 1
casually 1
cave 4
celebrating 1
center 2
challenged 1
chance 1
changed 1
changes 1
chaos 11
charm 1
chest 1
chops 1
chronicles 1
collapses 1
color 1
combat 1
come 2
commands 2
complains 1
confirms 2
consciousness 1
contact 1
contacts 1
continues 2
copy 1
corwin 49
courts 10
create 2
crossbow 1
crossbowman 1
crush 1
cut 1
cuts 1
dara 11
deadline 1
death 1
decide 2
decides 1
declines 1
deirdre 4
destroyed 1
did 1
diminishing 1
dines 1
dinner 1
disappear 1
disappointed 1
discover 1
discusses 1
dismisses 2
distant 1
distract 1
distraction 1
does 1
doubt 1
down 1
dworkin 1
each 2
eager 1
easily 1
edge 1
effect 1
emerges 1
encounter 1
end 1
enjoyed 1
even 1
eventually 1
evokes 1
examines 1
exhausted 2
exist 1
explaining 1
explains 2
eyes 1
fail 1
failed 2
fair 2
faked 1
fall 2
falls 1
family 4
fantastic 1
fast 1
fatalistic 1
father 3
feared 1
feast 1
feel 1
fight 2
fills 1
final 1
finally 1
find 1
finds 3
fine 1
finishes 1
fiona 5
first 1
folk 1
follow 2
following 1
follows 1
for 6
force 1
forces 3
former 1
france 1
free 1
friend 1
from 8
front 3
funeral 1
further 1
giant 1
give 2
given 1
gives 4
go 1
good 1
goodbye 2
grabs 2
grard 2
great 1
grow 1
grown 1
guard 1
guide 1
guilty 1
had 2
hair 1
happening 1
has 7
have 4
having 1
he 45
head 1
hear 1
held 1
hellride 1
her 2
herself 1
him 28
himself 5
his 24
hoping 1
horse 5
hostage 1
how 2
however 1
huge 1
hugi 2
image 1
immediately 1
impression 1
in 16
inscribe 1
inside 1
instead 1
into 4
introduces 1
invisible 1
invite 1
is 21
it 17
its 2
jackal 1
jewel 12
join 1
judgement 1
julian 1
just 3
keep 1
keeping 1
kidnapped 1
killing 1
kills 2
king 2
kneel 1
kneels 1
knew 1
knock 1
knows 1
lady 2
lair 1
large 2
lead 1
leader 1
leads 1
learn 1
learns 2
leave 2
leaves 3
led 1
legends 2
leprechauns 1
library 1
lie 1
life 2
like 1
local 2
longer 1
lorraine 1
loses 1
magics 1
make 1
makes 1
mark 1
martin 2
massive 1
master 1
may 2
means 1
meet 1
memories 1
mentioned 1
mentions 1
merlin 6
metaphysical 1
more 2
mortally 1
mostlydrowned 1
move 1
moves 1
moving 1
multiverse 3
must 4
mythological 1
named 1
nameless 2
narrating 1
neither 1
new 6
no 2
nogth 1
nonsense 1
not 2
notices 2
now 3
oberon 16
observing 1
occupant 1
odd 1
of 29
off 4
offers 1
on 5
once 1
oncoming 1
one 1
only 1
or 3
order 1
ordered 1
orders 4
other 2
others 2
out 2
outside 1
overtake 1
own 1
pale 1
paralyzed 1
paris 1
passed 1
past 1
pattern 8
patterns 1
pawns 1
persuades 1
philosophy 1
plant 1
planted 1
plants 1
pledge 1
plucks 1
pointedly 1
possibility 2
possible 1
preparing 1
process 2
procession 1
projects 2
psychically 1
pulls 1
puts 1
queen 1
quell 1
random 9
raven 6
reach 1
real 1
realises 1
realizes 2
reappears 1
recognizes 1
red 1
reflects 1
refuge 1
refuses 1
relays 1
released 1
remembering 1
removes 1
repair 1
replace 1
rescue 1
rest 2
return 2
returns 1
ride 1
rides 1
road 3
rouses 1
rule 1
runs 1
rushes 1
safe 1
save 2
says 4
scripture 1
seduce 1
see 2
selfdefense 1
set 1
sets 1
seven 1
shadow 7
shape 1
shatters 1
she 4
shelter 1
shift 1
shortcut 1
shortly 1
shot 2
should 1
shows 1
silvertipped 1
single 1
sky 3
slaughter 1
slays 1
slept 1
slightly 1
so 3
some 2
somehow 1
someone 1
somewhere 1
son 4
sorts 1
sought 1
spared 1
spied 1
staff 3
staggers 1
starts 4
stay 2
stays 3
steals 1
still 3
storm 10
story 1
strange 1
stranger 3
strength 1
striding 1
succeed 1
succeeded 1
successful 2
succumbing 1
suddenly 1
sulks 1
superheat 1
surrounding 1
sword 2
takes 2
talk 1
talking 1
talks 1
teleport 1
telling 2
tells 5
that 25
the 102
their 4
them 6
then 4
there 3
these 1
they 12
think 1
this 2
throat 1
through 5
time 3
tirna 1
to 66
too 1
towards 3
tracks 1
transformed 1
tree 3
tries 2
trump 1
trumplike 1
trumps 3
turn 1
two 1
unconvinced 1
unicorn 1
universe 1
unsure 1
unusually 1
up 2
use 3
used 1
uses 1
using 4
usual 1
various 1
wakes 2
walking 1
wants 2
was 3
wasteland 1
watch 2
watched 1
wave 1
we 1
wearing 1
wee 1
well 1
were 1
what 1
when 2
where 3
whether 3
which 1
while 5
white 1
who 8
will 4
wished 1
with 18
word 1
working 1
world 1
would 1
wounding 1
years 1
ygg 1
