12379558
/m/02w1_4y
/m/02w1_4y
Karen Hesse

11 1
a 4
along 1
also 1
america 1
american 1
an 2
and 7
at 1
avoid 1
be 1
been 1
behind 1
blank 1
brave 1
brothers 1
but 1
can 1
clever 1
come 1
compassion 1
confidently 1
constantly 1
cousin 1
cruel 1
edition 1
ellis 1
escape 1
ever 1
face 1
faces 1
family 2
fight 1
finds 1
flee 1
for 3
from 1
has 2
have 1
helps 1
her 7
hoping 1
hunger 1
immigration 1
in 4
injustice 1
into 1
is 2
island 1
itself 1
join 1
journey 1
keep 1
learns 1
leave 1
letters 1
literature 1
living 1
must 3
nathan 1
nursing 1
of 3
officials 1
older 1
only 1
parents 1
persecution 1
poetry 1
pushkin 1
realizes 1
rejoining 1
reminded 1
rifka 4
ringworm 1
russia 2
salvation 1
saul 1
separation 1
series 1
she 10
sons 1
spaces 1
story 1
stranded 1
talent 1
tells 1
that 2
the 5
theft 1
they 1
threatens 1
three 1
to 4
trial 1
true 1
turned 1
typhus 1
way 1
when 1
while 1
who 1
written 1
years 1
