11047866
/m/02qz6gv
/m/02qz6gv
James Ellroy
1990-06
150s 1
a 10
abuse 1
advisor 1
also 1
an 1
and 3
are 1
around 1
arrow 1
as 1
aside 1
at 1
badge 1
become 1
between 1
bloody 1
brutality 1
bud 1
called 1
christmas 1
coffee 1
confidential 1
conspiracy 1
cop 1
corruption 2
crime 1
deals 1
detective 1
differences 1
dragnet 1
early 1
earns 1
edmund 1
embroiled 1
encompasses 1
enforcer 1
enmity 1
events 1
eventually 1
exley 2
fictionalized 1
fixation 1
flashy 1
following 1
group 1
heroin 1
hollywood 1
honor 1
hushhush 1
in 3
informs 1
institutional 1
intimidating 1
is 4
it 1
jack 1
lapd 2
legendary 1
life 1
linking 1
magazine 2
mass 1
men 1
mix 1
murder 2
must 1
nite 1
novel 1
of 7
officers 3
on 3
organized 1
other 1
owl 1
personal 1
police 2
political 1
pornography 1
preston 1
prostitution 1
protagonists 1
provides 1
racism 1
real 1
reallife 1
refers 1
revolves 1
scandal 4
set 1
sex 1
shop 1
show 2
similar 1
son 1
story 2
straight 1
technical 1
television 1
the 15
their 1
them 2
this 1
three 2
tips 1
title 1
to 4
trafficking 1
two 1
unravel 1
vincennes 1
wendell 1
which 1
white 1
who 4
with 2
women 1
