3608582
/m/09pnvh
/m/09pnvh
Jane Hamilton

{"/m/05hgj": "Novel"}
2yearold 1
a 7
about 1
abuse 1
accuses 1
alice 5
all 1
also 2
alter 1
american 3
an 2
and 16
annoyingly 1
apart 1
area 1
aspiring 1
authenticity 1
author 1
away 1
bathing 1
be 1
become 1
best 1
between 1
book 1
both 1
bringing 1
but 5
can 1
child 1
children 1
choice 1
class 1
close 1
come 1
comes 1
concerned 1
constantly 1
contemporary 1
contradictions 1
contrast 1
couple 1
dairy 1
daughters 1
differences 1
dollars 1
downhill 1
drowns 1
efficient 1
efforts 1
eloquent 1
ensue 1
entertaining 1
entire 1
environment 1
essentially 1
ethical 1
fairly 1
falling 1
family 1
far 1
farm 3
farmer 1
farming 2
female 1
find 1
first 1
food 1
for 2
forever 1
forward 1
friend 1
from 3
funny 1
getting 1
girls 1
goes 2
good 1
goodwin 2
her 5
hilariously 1
how 1
however 1
humor 1
husband 3
idea 1
imagines 1
imprisonment 1
in 6
included 1
inconsequential 1
indictment 1
internal 1
involved 1
is 7
it 1
its 3
just 1
keep 1
legal 1
little 1
lives 2
living 1
lizzy 1
loss 1
maintain 1
malefemale 1
manages 1
marriage 1
mental 1
mercy 1
midwest 1
molesting 1
moment 1
more 1
mother 1
motherinlaw 1
mothers 1
new 1
nonverbal 1
not 1
novel 3
nurse 1
oblivious 1
of 14
on 3
one 2
other 1
out 1
over 1
own 2
perspective 1
placing 1
politics 1
pond 2
popular 1
practices 1
processes 1
psychological 1
race 1
raise 1
ready 1
recent 1
reprimanded 1
scathing 1
school 2
search 1
section 1
seemingly 1
sentences 1
several 1
she 1
sick 1
sledgehammer 1
slips 1
small 1
society 1
son 1
structural 1
struggles 1
studies 1
stymies 1
subject 1
subtlety 1
suit 1
swim 1
system 2
take 1
tales 1
than 1
that 1
the 26
their 4
there 1
theresa 3
thinking 1
third 1
throughout 1
to 12
told 1
town 3
tragically 1
tramp 1
trial 1
turns 1
two 5
upstairs 1
us 1
values 1
very 1
voice 2
when 1
which 3
whom 1
wicked 1
wife 2
wisconsin 1
with 3
works 1
young 1
