984769
/m/03wq1q
/m/03wq1q
Stephen Baxter
1997-07-18
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2002oa 1
a 23
about 1
accident 1
account 1
actual 1
adapted 1
administration 1
adoption 1
after 3
agency 1
aiding 1
aim 1
alive 1
all 1
america 2
american 2
amid 1
an 4
and 24
another 2
antiintellectualism 1
antisatellite 1
apollo 1
are 5
as 9
asteroid 3
astronauts 5
atlantis 1
atmosphere 1
attack 1
attacks 1
attitudes 1
back 1
bacteria 2
baxter 2
be 2
become 1
beetlelike 1
before 1
begin 2
believing 1
beyond 1
bid 1
billion 1
biological 2
bleak 1
boils 1
build 1
but 2
by 7
calculations 1
capsules 1
cargo 1
carried 1
carry 2
cassini 1
cause 2
celss 1
centre 1
century 1
china 1
chinese 2
christian 1
climate 2
clouds 1
colonize 1
columbia 1
comes 1
compounds 1
concerns 1
confirm 1
consequently 1
construction 1
containing 1
continue 1
continuous 1
control 1
could 1
crash 1
crashing 1
crater 1
creatures 2
cretaceouspaleogene 1
crew 6
crippled 1
critically 1
culture 2
curricula 1
cut 1
damage 1
damaging 1
dark 1
day 1
decadent 1
decide 1
defense 1
deflecting 1
depicts 1
despite 1
determined 1
develop 2
didnt 1
die 1
dies 1
digital 1
discovered 1
discovery 1
disease 1
disintegrating 1
diverted 1
do 1
down 4
downward 1
drive 1
driven 1
drop 1
during 2
dwarfplanet 1
early 1
earth 4
earthreturn 1
ecosystem 1
effectively 1
embraces 1
emerging 1
endeavour 2
engaged 1
enroute 1
ensure 1
entered 1
entertainment 1
equal 1
especially 1
ethane 1
ethnicallytargeted 1
event 1
events 1
evolution 1
executive 1
expanding 1
exploration 3
explores 1
explosion 1
extinction 1
falling 1
farright 1
filled 1
final 2
find 2
findings 2
fired 1
five 1
flask 1
fleet 1
following 1
food 1
for 10
forcing 1
form 2
fossilized 1
freezing 1
from 8
fruit 1
fund 1
fundamentalist 1
funding 1
future 4
gain 1
general 1
giant 1
goes 1
grain 1
gravityassisted 1
greenhouse 2
grow 1
habitat 1
han 1
has 3
hatred 1
he 1
heavily 1
help 1
high 1
his 1
hope 2
huge 1
humanity 1
humans 1
in 15
includes 1
including 2
infighting 1
insane 1
instead 1
intelligent 1
interest 1
international 1
interplanetary 1
into 7
ion 1
irreparable 1
is 6
isolationist 1
it 4
its 4
itself 1
journey 1
land 1
landers 1
landing 2
largely 1
last 2
launch 1
lays 1
leaving 1
left 1
life 6
lift 1
like 1
liquid 2
loss 3
lost 1
maclachlan 3
main 1
makes 2
manned 1
martian 1
may 1
meanwhile 1
member 2
members 3
men 1
merges 1
meteorites 1
microbic 1
militarism 1
military 1
missile 1
mission 2
model 1
modern 1
modified 1
modules 1
moon 1
mothballed 1
mud 1
must 1
named 1
nasa 3
nationstates 1
negative 1
network 1
new 1
next 1
no 3
not 1
novel 3
now 1
oceans 1
of 33
off 2
older 1
on 8
once 1
one 1
only 1
or 2
orbit 3
order 2
orders 1
organic 1
out 1
permanent 1
persuade 1
phase 1
pioneering 1
planetary 1
plans 1
platforms 1
policies 1
political 1
politics 1
possible 1
power 1
precision 1
prepare 1
president 1
presumably 1
procedure 1
program 2
proposed 1
propulsion 1
provides 1
ptolemaic 1
public 1
purple 1
purposes 1
range 1
reach 1
ready 1
rebellious 1
recover 1
recovered 1
recycling 1
red 1
reentry 2
refitted 1
reincarnated 1
rejuvenate 1
relay 1
rely 1
remaining 1
remains 1
resources 1
rest 1
restored 2
resupply 1
retaliate 1
retrieval 1
ruled 1
same 2
saturn 3
saturnian 1
school 1
science 1
scientists 1
seceding 1
seed 1
seeing 1
sequence 1
several 2
severed 1
shallow 1
ship 1
shoot 2
shutdown 1
shuttle 6
similar 1
sixyear 1
size 1
slowly 1
small 1
snow 1
so 1
solar 3
some 1
space 9
spacecraft 1
spacefaring 1
spending 1
spiral 1
spirit 1
starships 1
station 1
sticky 1
storm 1
strange 1
strikes 2
successfully 1
sun 2
supply 1
support 3
surface 3
survival 1
survive 1
surviving 1
sustained 1
system 2
systems 1
tailored 1
take 3
targeted 1
team 3
technology 1
tensions 1
that 2
the 73
their 3
themselves 1
they 8
thick 1
things 1
this 2
those 1
threatening 1
ties 1
timeline 1
titan 8
to 28
toward 1
traces 1
transport 1
travel 1
treatment 1
tried 1
tries 1
try 1
turn 1
twentyfirst 1
two 2
under 1
unfortunately 1
uninterested 1
universe 1
us 2
usaf 1
use 1
using 3
v 1
vegetables 1
vehicles 1
version 1
very 1
warming 1
watch 1
water 1
way 1
weapons 2
well 1
what 1
which 4
while 2
who 1
widespread 1
will 2
with 14
within 1
world 3
wrong 1
x15 1
xavier 1
years 1
youth 1
