2121389
/m/06nmsd
/m/06nmsd
Sally Beauman
2001-09-17
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel"}
a 6
accident 1
acquaintances 1
adulthood 1
africa 1
after 1
again 1
alive 1
also 1
although 2
ambitions 1
an 1
and 11
appearances 1
area 1
as 4
assertive 1
at 2
away 1
be 2
before 2
begins 2
believe 1
black 1
boldness 1
boy 1
brief 1
brittany 1
bucolic 1
but 1
by 3
cameos 1
car 1
characters 2
childhood 2
classic 1
colonel 1
conclusion 1
connection 1
continues 1
conventionality 1
country 1
cousin 1
cruel 1
de 2
deeply 1
described 1
despite 1
devlin 2
diamond 1
died 2
disgrace 1
dreams 1
dreamt 1
du 1
during 1
early 1
ellie 1
end 1
england 1
eventual 1
fact 1
father 2
first 1
france 1
french 1
from 4
gambler 1
generally 1
girl 2
gray 1
had 2
halfsister 1
has 1
haunted 1
have 2
he 1
her 9
himself 1
his 3
home 1
however 1
husband 1
i 2
ideals 1
identity 1
in 11
including 1
inspiration 1
investing 1
irish 1
is 1
jack 1
julyan 2
last 1
left 1
life 2
line 1
loathe 1
love 1
make 1
making 1
manderley 1
manipulate 1
maurier 1
maxim 3
maximilian 2
men 1
mines 1
mistrust 1
money 1
more 1
most 2
mother 3
night 1
none 1
novel 3
of 5
opens 1
original 3
other 1
outward 1
own 3
partial 1
positive 1
potentially 1
presented 1
pursue 1
quiet 1
raised 1
raped 1
rebecca 6
rebeccas 1
reconciles 1
rejects 1
relations 1
retired 1
right 1
sad 1
sailing 1
same 1
seduced 1
selfsufficient 1
sent 2
sequel 2
she 6
significant 1
sister 1
sisterinlaw 1
some 1
south 1
speculator 1
still 1
strong 1
supported 1
taking 1
tale 1
teaching 1
terence 1
that 1
the 11
their 2
this 2
to 11
tormented 1
traumatic 1
twenty 1
ultimately 1
understood 1
unknown 1
village 1
wanton 1
was 9
well 1
went 1
were 1
when 1
where 1
while 3
winter 2
with 2
woman 1
years 1
young 2
younger 1
