1045304
/m/0415vl
/m/0415vl
Roger Zelazny

{"/m/06n90": "Science Fiction", "/m/0707q": "Short story"}
a 2
able 1
about 1
activity 1
all 1
and 1
as 4
backdoors 1
be 1
becomes 1
before 2
by 1
central 1
chance 1
computer 1
concerned 1
concerns 1
control 1
create 1
creation 1
data 1
designed 1
destroy 1
economic 1
entered 1
expressed 1
far 1
for 1
freedom 1
freelance 1
gave 1
give 1
global 1
he 1
hero 4
himself 2
his 3
human 1
identities 1
in 3
into 1
investigator 1
involved 1
is 2
it 1
just 1
keeping 1
live 1
misuse 1
needed 1
network 2
nonexistent 1
of 4
personal 1
possible 1
power 1
problem 1
protagonist 1
sets 1
solver 1
step 1
stories 1
such 1
superior 1
system 3
taking 1
the 12
these 1
this 2
to 5
track 1
ultimate 1
up 1
using 1
was 2
went 1
who 1
with 1
