16833103
/m/0407s8x
/m/0407s8x
Sherwood Smith
2008-03-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 3
abducted 1
about 2
after 1
age 1
all 3
along 1
and 7
ballads 1
but 3
central 1
chase 1
coming 1
company 1
crown 1
dirt 1
everyone 1
for 3
friends 1
friendship 1
go 1
happens 1
has 1
hate 1
her 3
iardith 1
important 1
in 2
invited 1
is 3
kingdom 2
laughter 1
learn 1
learns 1
lot 1
love 1
many 1
meanings 1
most 3
not 1
nothing 1
of 8
only 1
other 1
part 1
party 1
perfect 1
politics 1
posse 1
prettiest 1
prince 1
princes 1
princess 1
princesses 3
rescue 1
results 1
rhis 3
romantic 1
sleeping 1
small 1
sword 1
the 12
them 1
they 1
to 3
unexpected 1
vesarja 1
what 1
when 1
which 1
who 1
with 2
world 1
