29879002
/m/0fqny6k
/m/0fqny6k
Kathy Reichs
2007
20 1
a 5
about 1
after 1
alive 1
along 1
and 4
andy 1
another 1
anthropologist 1
are 1
as 2
ashes 1
at 1
be 1
believes 1
bones 3
box 1
by 2
case 3
cases 1
child 1
committed 1
could 1
cowork 1
dark 1
dead 1
decides 2
disappeared 1
divorce 1
end 1
evangeline 1
events 1
fake 1
father 1
follows 1
for 1
forensic 1
friend 2
get 1
girl 3
girls 1
going 1
had 1
he 1
hears 1
her 7
hers 1
hide 1
husband 1
identified 1
in 3
involved 2
is 6
just 1
killed 1
leads 1
long 1
lover 1
many 1
montreal 2
moved 1
name 1
never 1
not 1
of 2
off 1
old 1
on 3
one 1
past 1
pornography 1
regular 1
ryan 1
she 2
sister 1
still 1
suicide 1
temp 2
temps 1
than 1
that 2
the 4
then 1
there 1
third 1
this 1
three 1
to 6
uncovering 1
was 2
well 1
while 3
who 4
with 3
woman 1
working 2
years 1
younger 1
