31059229
/m/0gg6l98
/m/0gg6l98
Samuel Shellabarger
1945
{"/m/02p0szs": "Historical fiction"}
1518 1
1yearold 1
28 1
a 18
aboard 1
accepts 1
accidentally 1
accusations 1
across 1
acts 1
adventurous 1
after 2
afterward 1
afterwards 1
again 1
against 2
age 1
agrees 2
aid 1
alert 1
almera 1
almost 1
alone 1
along 2
also 1
ambassador 1
ambitionserving 1
among 2
an 3
and 43
another 2
are 8
army 1
arrested 2
arrives 1
as 5
at 1
attacked 1
attempt 1
attending 1
authorities 1
autodef 1
awaiting 1
away 1
aztec 2
aztecs 3
back 2
badly 1
barters 1
be 2
beaten 1
because 2
becomes 2
been 3
before 1
befriends 1
begin 1
begins 2
being 2
believe 1
besieged 1
between 1
blessing 1
blossom 1
both 1
bought 1
bribe 3
bright 1
brother 1
burning 3
but 6
by 20
cadiz 1
called 1
calm 1
can 1
capital 1
captain 3
capture 1
carried 1
carvajal 4
castile 2
catana 11
cave 1
cells 1
child 1
church 2
city 1
claims 1
coast 1
coatl 6
comes 1
company 2
concludes 1
confesses 1
confession 1
confronted 2
convinced 1
convinces 1
cortez 8
courage 1
coveted 1
cowardly 1
crossbow 1
cuba 2
custody 1
cutthroat 1
dancer 1
daughter 1
day 1
de 20
dead 1
death 2
deeply 1
defense 1
deliver 1
delivers 1
departing 1
desperate 1
despite 1
die 1
diego 4
disarms 1
discovered 1
disguise 1
does 1
don 4
door 1
down 1
drink 1
drunken 1
during 8
each 1
eager 1
effort 1
emeralds 1
empire 1
end 1
enlists 1
entering 1
entrusted 1
eponymous 1
escape 7
escaped 1
escapes 1
evening 1
eventually 1
executed 1
execution 1
expedition 1
fall 1
family 8
father 3
favour 1
fight 1
filled 1
find 2
finds 2
first 1
flees 2
for 8
former 1
francisco 4
free 1
freedom 1
friends 1
from 8
garca 9
garcia 2
get 1
gift 1
god 1
gods 1
gold 3
great 1
greedy 1
group 2
growing 1
guard 1
guesses 1
guided 1
had 2
has 5
he 10
head 3
help 7
helped 1
her 3
hernn 2
hero 1
herself 1
him 6
his 15
home 1
honor 1
however 5
hunters 1
hunting 1
ignacio 5
immediately 1
in 15
including 1
indian 1
infatuated 1
informs 1
inland 1
inquisition 6
instead 2
integrity 1
into 2
is 18
it 1
italy 1
jaen 3
join 2
joined 1
juan 1
june 1
jungle 1
just 1
kill 1
kills 2
king 4
learns 2
leave 1
leaves 1
left 1
leg 1
like 1
list 1
living 2
local 4
location 1
long 1
lora 4
love 3
lucena 1
luisa 3
madness 1
makes 1
making 1
man 1
manage 1
manuel 2
marquis 2
married 1
master 1
men 3
mercedes 1
merchant 1
met 1
mexico 2
minor 1
miscarriage 1
mistreated 1
money 1
montezuma 1
months 1
morning 1
mother 4
mountains 1
mutineers 1
mutiny 1
nave 1
new 3
next 3
night 1
no 1
nobleman 2
not 1
now 1
occupation 1
of 26
off 1
old 2
on 2
one 2
ornaments 1
other 1
others 1
out 3
own 1
pardoned 1
parting 1
passage 1
payment 1
pedro 37
people 1
peoplein 1
plans 1
pouch 1
preparing 1
prevent 1
prez 3
priest 1
promotion 1
property 1
raped 1
realizes 1
rebel 1
receive 1
receives 1
recovery 1
reflecting 1
rendezvous 1
repent 1
rescued 1
rescues 1
return 2
returning 1
returns 4
reunited 1
rich 1
romantic 1
rosario 2
rough 1
ruled 1
save 1
search 2
secret 1
sees 1
sells 1
sends 1
sentence 1
sentences 1
separated 1
sets 2
several 2
share 1
shifts 1
ship 2
ships 1
shows 1
sickly 1
sierra 1
silva 7
sins 1
sister 1
slave 2
slavewho 1
small 1
so 1
soler 1
son 2
soon 2
spain 5
spanish 4
spending 1
split 1
spurns 1
stabs 1
stay 2
still 1
stolen 2
stones 1
stopped 1
stops 1
story 1
surprised 1
taken 4
tavern 3
tenochtitlan 2
that 3
the 70
their 9
them 2
themselves 1
then 1
there 2
thereafter 1
therefore 2
they 3
this 1
though 1
through 2
time 1
to 36
tortures 1
toward 1
towards 1
tracks 1
transferred 1
travel 1
treasures 1
treated 1
tribe 1
tribute 1
turns 1
upon 1
vargas 4
wanted 1
war 1
watch 1
way 3
when 5
where 5
which 2
while 3
who 5
whom 2
whose 2
will 1
with 11
within 1
witnesses 2
world 1
worldwise 1
wounded 1
wrongfully 1
