553671
/m/02p9z1
/m/02p9z1
Lawrence Lessig
2004
{"/m/05h83": "Non-fiction"}
10000 1
10000000 1
45 1
8 2
a 19
ability 1
about 1
abuse 1
accumulation 1
act 3
admit 1
afterword 1
against 1
allowed 1
also 3
ambiguous 1
america 1
an 3
analyzes 1
and 13
another 2
anyone 1
approach 1
are 2
argues 2
article 1
arts 2
as 7
ashcroft 1
association 1
at 1
attempt 1
author 1
authority 1
authors 1
available 1
balance 1
based 1
be 3
because 1
been 1
between 1
book 6
broaden 1
broadening 1
but 2
by 6
calls 1
can 1
capital 1
capitalist 1
captured 1
cases 1
century 1
choice 1
chronicles 1
cites 1
clause 1
clip 1
clips 1
code 1
collage 3
commons 1
companies 1
compares 1
competing 1
compromised 1
compulsory 1
concepts 1
concludes 1
congress 3
consequence 1
constitution 2
constitutional 1
contains 1
content 1
context 1
copies 1
copying 1
copyright 4
copyrighted 2
corner 1
corporate 1
corporations 1
court 2
create 1
created 1
creating 1
creation 1
creative 2
creators 1
culture 3
cyberspace 1
decide 1
decision 1
demanded 1
depressingly 1
deregulation 1
derivative 3
develop 1
different 1
direct 1
discoveries 1
documentary 1
domain 2
effect 1
eldred 3
engine 1
enhancement 1
ensure 1
essentially 1
evolves 1
example 2
exchange 1
exclusive 1
exists 1
extend 1
extended 1
feudal 1
fisher 1
for 11
foundation 2
fox 1
free 6
freshman 1
fundamental 1
geekwannabe 1
grounds 1
growth 1
hard 1
harvard 1
has 5
have 2
he 3
his 6
holding 1
httpcyberlawharvardedupeopletfisherptkchapter6pdf 1
i 1
ideas 1
if 1
important 1
improving 1
in 14
include 1
industry 1
information 1
inside 1
installment 1
institute 1
intellectual 1
interested 1
interests 1
internet 2
into 1
inventors 1
is 12
it 2
kind 1
known 1
large 1
latter 1
law 4
laws 1
lessig 7
lexisnexis 1
licenses 1
licensing 1
like 2
limitation 1
limited 1
limiting 1
limits 1
longstanding 1
lost 1
made 1
making 2
massive 1
materials 1
message 1
model 1
models 1
more 2
most 1
much 2
multinational 1
nations 1
nature 1
noncommercial 1
not 3
obtain 1
of 30
on 6
one 1
only 2
or 4
organization 1
other 1
our 1
outgrowth 1
part 1
past 1
pay 1
periods 1
pg 1
pioneer 1
piracy 1
plan 1
playing 1
polytechnic 1
portfolios 1
potentially 1
power 2
preface 1
present 1
previous 1
process 1
producing 1
professor 2
progress 1
promote 1
properly 1
property 2
proposal 1
propounded 1
prosecution 1
provides 1
public 2
publication 1
publisher 1
purposes 1
realm 1
recording 1
renewable 1
rensselaer 1
respective 1
richard 2
right 1
rights 2
royalties 1
rpi 2
ruled 1
says 1
scene 1
scheme 2
school 1
science 1
scope 1
search 1
second 1
section 1
securing 1
several 2
shall 1
shorter 1
shot 1
similar 1
similarly 1
simpsons 1
so 1
society 3
software 3
some 1
something 1
stallman 2
statistics 1
stop 1
subscribers 1
substantially 1
such 3
sued 2
suggested 1
suggesting 1
suggests 1
supreme 2
taxation 1
television 1
tension 1
term 1
that 17
the 41
their 3
there 1
this 6
those 1
times 2
to 19
tradition 1
underlying 1
upon 1
us 3
usage 1
use 1
used 1
useful 1
v 1
video 2
violation 1
was 2
way 1
ways 1
westlaw 1
what 1
where 1
which 2
william 1
with 3
work 1
works 2
writes 1
writings 1
xiv 1
