1194749
/m/04g9lq
/m/04g9lq
Terry Goodkind
1996-10-15
a 6
ability 1
adie 1
advance 1
after 1
alliance 1
almost 1
amnell 2
an 1
ancient 1
and 8
annalina 1
army 1
arrival 1
aydindril 4
back 3
banelings 1
batch 1
battle 2
become 1
being 1
between 1
blood 4
brogan 1
brought 1
but 2
by 2
call 1
captures 1
city 1
confessor 1
confessors 1
continuous 1
control 1
courses 1
creator 1
dead 1
decide 1
defeat 1
demand 1
destroys 1
dhara 1
dharan 2
difficult 1
discover 1
discovers 2
eggs 1
ends 1
finds 1
fled 1
flees 1
fold 3
following 1
fooled 1
for 3
form 1
former 1
from 2
future 1
general 1
gift 1
halt 1
has 2
hatch 1
he 3
her 3
himself 1
his 6
hurries 1
immediately 1
imperial 2
in 9
inside 1
instructions 1
invisible 1
is 3
isnt 1
issuing 1
jagang 1
just 1
kahlan 4
keep 1
lands 1
leads 1
lord 1
lost 1
means 1
meanwhile 1
midlands 4
mother 1
mriswith 5
must 1
named 1
nathan 1
nations 1
nesting 1
neverending 1
new 3
newly 1
novel 1
of 17
old 2
only 1
or 1
order 2
out 1
over 1
palace 3
place 1
power 1
preceding 1
prelate 2
preparing 1
prevent 1
prophets 3
queen 3
rahl 2
real 1
realizes 1
really 1
receiving 1
releases 1
resumes 1
returning 1
reunited 1
richard 7
rule 2
saves 1
search 1
seizing 1
senses 1
sister 1
sliph 2
smashing 1
soldiers 1
some 1
stone 1
surrender 2
takes 1
taking 1
tears 1
that 1
the 45
them 1
then 3
there 1
they 1
those 1
through 3
to 15
tobias 1
transportation 1
travel 1
treasures 1
trouble 1
unconditional 1
upon 1
uses 1
verna 1
victory 1
way 1
what 1
when 1
where 1
whether 1
who 2
wife 1
wifetobe 1
with 5
wizard 1
world 5
worlds 1
