544947
/m/02nkyk
/m/02nkyk
Michael Ondaatje

{"/m/02xlf": "Fiction"}
130 1
a 40
able 1
about 5
accepted 1
accidentally 1
accuses 1
across 1
act 2
actions 1
actor 1
after 4
against 1
alice 9
all 1
already 1
always 1
ambrose 1
an 4
and 42
anger 1
ankle 1
apartment 1
apparel 1
are 3
arm 2
arrive 1
arrives 1
arriving 1
arson 1
as 5
asks 3
asleep 2
at 8
attack 1
attempts 1
authorities 1
awakes 1
baker 1
bakery 1
bar 1
barriers 1
be 2
become 1
becomes 1
been 1
before 1
beginning 1
being 2
black 1
blind 1
bloor 1
blow 1
blue 1
boat 2
body 1
bomb 1
bombs 1
book 1
box 1
boy 1
brandy 1
bridge 6
bring 1
broke 1
brokenhearted 1
brotherinlaw 1
buck 2
built 1
burns 1
but 1
by 10
call 1
called 1
calls 1
can 1
caravaggio 6
carries 1
carry 1
carrying 1
caught 1
causation 1
center 1
changes 1
chapter 1
character 2
chloroform 1
city 2
clara 13
clothes 3
cocktail 1
commissioner 2
committed 1
commonality 1
company 2
compliments 1
connection 1
construction 1
containing 1
cottage 3
country 1
couple 1
course 1
creek 2
cut 1
dance 1
daughter 1
dead 1
deals 1
defuse 1
depot 2
describes 1
detonating 1
dickens 2
died 1
discussions 1
dislocating 1
doctor 1
dollar 1
don 1
down 1
dresses 1
dressing 2
drive 1
dropping 1
dry 1
dynamite 3
dynamiter 3
each 1
eastern 1
electricity 1
elements 1
elizabeth 1
ends 1
english 1
enters 2
entertainment 1
escape 2
escaped 1
etc 1
evening 1
eventual 1
eventually 2
exhausted 1
exploiting 1
explosives 1
facility 1
factory 1
fallen 1
falls 3
family 1
father 2
fell 1
fellow 1
filtration 1
find 2
finding 1
finds 2
firemdashonce 1
first 2
five 1
follow 1
for 6
form 1
forward 1
found 1
foundation 1
four 1
fraternize 1
frequented 1
friend 1
friends 1
from 8
frozen 1
gather 1
gathering 1
geranium 1
gianetta 2
go 1
goes 1
gone 1
great 1
growing 1
guards 1
gull 2
habit 1
had 3
hana 7
hand 1
harris 7
has 5
hazen 1
he 24
help 2
helped 1
helping 1
her 13
hers 1
hidden 1
hide 1
him 13
his 19
hometown 1
hoping 1
hotel 3
house 2
how 1
huntsville 1
ignoring 1
immigrant 1
in 18
installs 1
intake 1
intends 1
interest 1
into 2
introduces 1
invited 1
is 12
island 1
jumping 1
kerosene 1
killed 2
kingston 1
know 2
knows 1
kosta 1
lake 2
language 1
later 3
leads 1
learn 2
learning 1
learns 3
lease 1
leather 1
leave 1
leaves 2
let 1
lewis 3
life 1
lights 1
link 1
little 1
living 3
loggers 2
look 1
loses 1
love 1
lovers 1
macedonian 2
main 1
make 1
makes 3
man 2
manages 1
marmora 2
meeting 1
meets 3
met 1
meticulous 1
might 1
milk 1
millionaire 1
mills 1
missing 1
mistress 1
molotov 1
moment 1
morning 1
mother 2
multimillion 1
mushroom 1
muskoka 1
named 1
narrative 1
nationalities 1
neighborhood 2
never 1
new 2
nicholas 2
night 3
nineyearold 1
north 2
not 1
nothing 1
novel 1
now 2
nun 5
nuns 1
nurse 1
of 19
off 4
offers 1
office 1
often 1
old 1
on 11
one 3
only 1
ontario 2
onto 1
or 1
other 1
out 7
owned 1
owner 1
paint 1
painting 2
part 1
party 1
patrick 35
penitentiary 1
performance 1
pick 1
picked 1
place 1
places 1
plant 3
plight 1
poisoned 1
police 1
political 1
prison 1
prisoners 1
profession 1
project 1
promises 1
providing 1
public 1
rc 1
realizing 1
recalls 1
recognizes 1
recover 1
recuperate 1
relationship 1
released 1
remnants 1
remove 2
rents 1
repeatedly 1
responsibility 1
retrieve 1
retrieving 1
returning 1
returns 1
reuniting 1
rich 2
right 1
river 1
robbery 1
roof 2
room 1
rowland 1
rushes 1
said 1
satchel 1
saved 1
saves 1
say 1
scar 1
scars 1
search 1
seasons 1
secret 1
seeds 1
set 1
sets 2
she 4
show 1
shows 1
silent 1
sixteen 1
skate 1
skating 1
sling 1
small 11
smashes 1
so 2
social 1
square 1
stage 1
steal 1
steals 1
steamer 1
street 1
struggles 1
studying 1
subsequent 2
suitcase 1
supply 1
swims 1
takes 3
talking 2
tears 1
tells 5
temelcoff 6
tenderness 1
testing 1
that 10
the 68
their 3
then 3
these 1
they 3
this 2
three 2
through 3
throwing 1
timber 1
time 1
to 36
toronto 1
toward 1
town 1
traffic 1
train 2
transcend 1
transformation 1
travels 1
treating 1
tunnel 1
turns 1
under 1
unexpectedly 1
unfinished 1
unlucky 1
up 3
urging 1
valley 1
vanished 1
various 1
veil 1
viaduct 1
visited 1
visits 2
vulnerable 1
wakes 2
wander 1
warns 1
was 2
washing 1
watches 1
water 3
waterworks 1
waterworksmdasha 1
way 1
we 2
where 4
which 5
while 1
who 3
whom 2
whose 1
wife 2
will 4
winter 1
with 11
witnesses 1
woman 3
work 3
worker 1
workers 1
working 1
works 1
wounds 1
wrong 1
yacht 1
years 3
yelling 1
yet 1
young 3
