269893
/m/01ns8r
/m/01ns8r
Roger Zelazny
1991-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 1
all 1
and 2
becomes 1
birthplace 1
but 1
chaos 4
chaosu 1
corwin 1
courts 2
cynical 1
du 1
existential 1
father 1
fight 1
final 1
for 1
frprince 1
hands 1
haosului 1
he 3
his 3
in 6
involved 1
is 3
king 1
magical 1
merlin 3
new 1
of 4
order 1
pawn 1
plksi 1
powerful 1
powers 1
realizes 1
returns 1
reunited 1
riddle 1
roprinul 1
ru 1
rule 1
solve 1
superpowers 1
survival 1
that 1
the 8
to 2
universe 1
uses 1
which 1
with 1
