28461587
/m/0crcfch
/m/0crcfch
Stephen Baxter
2010-06-03
{"/m/06n90": "Science Fiction"}
14yearold 1
a 15
absent 1
adopts 1
again 1
along 1
also 1
ana 8
and 17
are 2
arrives 1
as 6
attack 1
attacking 1
back 4
be 2
beaten 1
becomes 1
been 2
before 1
begins 1
being 1
believing 1
breaks 1
bricks 1
bride 1
brother 2
brothers 1
brutish 1
build 1
but 2
by 4
can 1
ceremony 1
challenge 1
chaos 1
child 2
civilisation 1
come 1
communal 1
community 1
complete 1
construction 3
contest 1
continues 1
convinces 1
current 1
daughter 1
de 1
death 1
decides 1
demands 1
destroy 1
destroyed 1
dispute 1
done 1
draconian 1
dreamer 1
during 5
dyke 2
dykes 1
eldest 2
enable 1
ends 1
england 1
enraging 1
ensure 1
escaped 1
every 1
exiled 1
experience 1
extelur 14
facto 1
falls 1
father 1
fight 2
figure 1
finally 2
flint 1
flow 1
focus 1
for 2
formations 3
frees 1
from 1
gall 6
giant 1
giver 2
giving 2
great 1
has 2
have 1
head 1
help 1
her 5
herself 1
his 4
hold 3
holds 1
house 1
however 1
hunt 1
hunting 1
ice 1
in 7
inadvertently 1
including 1
increasingly 1
inhabitants 1
instead 1
intention 1
into 1
is 10
it 1
its 3
killed 3
kills 2
kirike 5
known 3
labour 1
later 1
leader 3
leadership 2
leave 1
levels 1
locals 1
located 1
make 1
making 1
many 1
master 1
matters 1
meant 1
meanwhile 1
measures 1
member 1
missing 1
modernday 1
most 3
much 2
neighbouring 1
neighbours 1
nominally 1
northland 1
novel 2
novu 2
now 1
obsessively 1
of 14
offer 1
on 3
once 1
one 1
only 1
opposes 1
or 1
organising 1
out 1
outsiders 1
oversees 1
own 1
particular 1
plan 2
pools 1
pretani 7
prized 1
promised 1
reached 2
religious 1
remarkable 1
representing 1
rescued 1
resembling 1
resentment 1
resolve 1
resolves 1
result 1
results 1
resumes 1
returns 3
revenge 1
rising 1
root 2
ruled 1
sea 4
seabed 1
shade 4
share 1
she 3
significance 1
sister 1
skill 1
slave 3
slaves 1
sleeps 1
snailhead 2
soil 1
some 1
sought 1
spiritual 1
stoneage 1
symbols 1
taken 1
tensions 1
territory 2
that 2
the 39
their 2
them 2
then 1
they 1
this 2
throughout 1
to 21
together 1
travels 1
tribe 1
tsunami 2
typical 1
ultimately 4
uncover 1
uncovers 1
undersea 1
uprising 1
violently 1
vowing 1
water 1
when 1
where 2
whereupon 1
which 3
who 3
wiped 1
with 7
witnessed 1
work 1
worse 1
year 1
years 1
younger 1
zesi 10
