5392055
/m/0djs90
/m/0djs90
Isobelle Carmody

2 1
3 1
a 18
abilities 1
acanthan 1
after 2
agree 1
alene 2
all 2
also 4
although 1
aluwtha 1
amazon 1
amnesia 1
an 5
and 21
answers 1
apparent 1
are 4
arrival 1
as 8
aspi 1
assassination 1
assisted 1
athletic 1
attached 1
attempt 3
bayard 3
be 3
being 1
believed 1
birth 2
bleyd 2
blind 3
blonde 1
born 1
brain 2
breeder 1
bright 1
brings 1
build 1
by 11
came 1
can 2
captured 2
cared 1
cares 1
chaos 3
characters 2
clarinet 1
comatose 3
come 2
committed 1
complex 1
connected 1
coralyn 1
could 2
crowned 1
cult 3
currency 1
daring 1
darkfall 3
day 1
death 2
deathsong 1
departing 1
description 1
despite 1
die 1
disappointed 1
does 4
doing 1
draaka 4
drone 2
drowning 1
drowns 1
drug 2
drugged 1
dying 2
earth 2
ember 9
ends 1
enhances 1
enslave 1
entire 1
everworsening 1
face 2
faith 1
faked 1
falling 1
falls 1
fare 1
farm 1
favour 2
faye 1
feyt 2
fienna 4
fill 1
final 1
finds 1
first 1
firstmade 1
flames 1
follower 1
fomikan 1
for 4
framed 1
free 1
friend 1
from 9
frontal 1
gave 1
get 1
gets 1
gift 1
gifted 1
give 2
gives 1
glynn 13
great 1
grey 1
guard 1
hair 1
half 3
harbour 1
harbours 1
have 2
he 1
heading 1
healing 1
heavily 1
hefienna 1
help 1
helps 2
her 16
herself 1
his 4
holder 1
holderking 1
honour 1
identified 1
if 1
implied 1
imprisoned 1
in 16
incidentally 1
include 1
independence 1
independent 1
indifference 1
instead 1
interconnects 1
into 2
involved 1
is 13
isle 2
its 2
jogger 1
johnny 1
kalide 1
keltor 8
keltorians 1
known 1
lanalor 5
large 1
last 1
latent 1
learns 1
leave 1
life 1
like 1
live 1
lives 1
lobe 1
long 1
lost 1
love 1
loyal 1
make 1
making 1
male 2
man 1
manbeast 2
many 1
mark 2
members 1
memory 1
mirrors 1
morning 1
most 1
mother 3
music 1
myrmidon 1
myrmidons 1
mysterious 1
nagging 1
name 1
named 2
night 1
not 6
note 1
novel 1
now 1
nurse 1
of 23
offspring 3
on 5
one 1
only 1
order 1
other 1
others 1
out 2
overboard 1
own 1
paradoxical 1
parents 1
pay 1
people 1
pet 1
player 1
playing 1
plot 1
policeman 1
politics 1
portal 1
portrays 1
preaches 1
predicted 1
predicts 1
pretends 1
promised 1
prophecy 1
prophesized 1
protectors 2
pulls 1
put 1
ramidan 3
red 1
rescue 2
rescued 2
resemble 1
rest 1
result 1
reunites 1
ronaall 2
rule 1
rulers 1
save 2
saved 1
saves 1
sections 1
security 1
seeing 1
seek 2
segue 1
sense 1
servant 1
she 10
shenavyre 1
ship 5
shore 1
sign 1
sings 1
sister 1
sisterhood 1
slowly 1
smuggled 1
so 4
solen 2
son 1
song 1
soulweaver 2
soulweavers 2
spirit 2
strangers 1
suicide 2
survive 1
suspicions 1
sworn 1
tabby 1
take 1
taking 1
tale 1
tareed 2
that 6
the 57
these 1
this 3
those 1
though 2
throne 1
through 1
thus 1
to 22
tortured 1
transported 2
trickery 1
trying 1
tumour 2
twin 1
ultimately 1
unbeknownst 1
unfortunately 1
unknowingly 1
unlock 1
unraveller 4
unykorn 1
unykornfirstmade 1
up 1
various 1
very 1
vision 1
visioning 1
void 1
wanted 1
wants 1
was 3
washed 1
watches 1
water 2
way 1
when 2
whether 1
which 2
who 14
whose 1
wind 1
windwalker 1
with 8
within 1
without 1
women 1
world 2
would 4
yet 3
