330523
/m/01wvrl
/m/01wvrl
Hermann Hesse
1922
a 16
about 1
absolutely 1
account 2
acknowledge 1
adhere 1
affections 1
affluent 1
after 1
afterward 1
against 1
agrees 1
all 3
alone 2
also 1
although 4
altogether 1
always 1
an 9
ancient 1
and 28
any 1
appearance 1
are 1
area 1
argues 1
around 1
art 1
as 4
ascetic 2
asks 1
at 1
attempts 1
bce 1
be 2
beautiful 1
because 1
become 1
becomes 2
becoming 1
beggar 1
begins 1
behind 1
belief 1
best 1
between 1
bitten 1
both 1
bows 1
boy 3
brahmin 1
briefly 1
buddha 6
buddhist 2
businessman 1
bustle 1
by 7
cannot 1
carries 1
carry 1
centuries 1
child 2
childhood 1
chosen 1
city 2
claiming 1
claims 1
compensate 1
complete 1
completeness 1
confines 1
connected 1
considered 1
console 1
convert 1
courtesan 1
crisis 1
crosses 1
cycle 1
cyclical 1
day 1
days 1
death 1
deathbed 1
decides 2
depart 1
desperate 1
despised 1
did 1
directs 1
discovers 1
distinct 1
divulge 1
does 4
done 1
each 1
easily 1
elegance 1
employ 1
empty 1
end 1
enlightened 2
enlightenment 1
entity 1
equal 1
escorted 1
even 1
eventually 1
every 2
experience 1
experiences 3
famous 1
fast 1
fastpaced 1
fasts 1
feelings 1
fellowship 1
ferryman 3
find 2
fits 1
fixed 1
flees 1
follow 1
for 4
forehead 1
found 1
fourth 1
friend 3
from 1
fulfilled 1
fulfillment 1
fullness 1
furiously 1
gaining 1
game 1
generous 1
gotama 2
govinda 9
great 1
handsome 1
has 3
hastily 1
have 1
having 1
he 12
hears 1
her 3
him 8
himself 3
his 19
holy 1
home 1
homeless 1
hopes 1
however 1
humbler 1
identify 1
illumination 2
illusion 1
in 11
india 1
individual 1
initially 1
insists 1
inspirational 1
intensely 1
internal 1
into 1
is 13
it 1
its 2
joined 1
joins 1
jubilant 1
kamala 6
kamaswami 3
killing 1
kiss 1
language 1
later 2
lead 1
learned 1
leave 1
leaving 2
let 1
life 4
lifestyle 1
light 1
like 1
likely 1
listen 1
listening 1
live 1
local 1
love 2
lover 1
luxurious 1
man 2
many 1
materialistic 1
may 1
meaning 1
meditates 1
men 1
merely 1
merrily 1
messages 1
middle 1
midlife 1
might 1
moment 1
more 1
morning 1
most 1
much 1
must 3
named 1
nature 2
near 1
necessarily 1
next 1
not 4
notes 1
now 2
nowelderly 1
oddly 1
of 29
old 1
om 1
on 1
once 1
one 4
only 1
onward 1
opposite 2
or 1
order 1
out 1
own 2
part 1
passing 1
passion 1
path 1
patience 1
pay 1
peacefully 1
people 2
person 1
personal 2
personally 1
philosophy 1
place 1
possessions 1
potential 1
predicts 1
presence 1
presented 1
providing 1
pursuits 1
quest 1
radiantly 1
raise 1
rather 1
realizes 3
recognizes 1
recognizing 1
reconnects 1
relate 1
relates 1
reluctantly 1
remains 1
renounces 1
replies 1
requests 1
resistant 1
resolves 1
rest 1
return 1
returns 1
reunites 1
rich 1
river 8
runaway 1
samana 1
samanas 1
saved 1
saw 1
see 1
seeking 1
seeks 1
seen 1
selfsustaining 1
seventh 1
she 3
siddhartha 32
significant 1
simple 1
simply 1
smiles 1
snake 1
so 2
some 2
son 3
speaking 1
spiritual 2
spiritually 1
statement 1
story 1
succeeds 1
suffering 1
suggestions 1
supremely 1
takes 1
teach 1
teacher 1
teachings 1
telling 1
than 1
that 19
the 48
then 1
there 1
things 1
thinks 1
those 1
though 1
through 1
thus 3
time 3
timelessness 1
to 24
toward 2
tranquility 1
travelling 1
travels 1
treat 1
true 2
truth 1
ultimately 1
unable 1
underling 1
understands 1
unique 1
unity 1
until 1
urges 2
vasudeva 6
venomous 1
venturing 1
very 1
visions 1
voice 1
voices 1
wandering 2
way 2
wealthy 1
when 2
which 1
who 3
whom 1
will 1
win 1
wisdom 1
wise 2
wit 1
with 7
woman 1
woods 1
word 1
work 1
works 1
world 2
years 2
yet 1
young 1
youth 1
