395683
/m/0238gd
/m/0238gd
Aleksandr Solzhenitsyn
1963
{"/m/02xlf": "Fiction"}
104 1
104th 1
28 1
854 1
a 10
able 4
above 1
according 1
accused 1
addition 1
after 1
allegiance 1
almost 1
also 1
always 1
among 1
an 2
and 15
any 3
anything 1
applied 1
are 3
as 2
assigned 2
assignment 1
at 5
authorities 1
be 3
bearable 1
because 1
becoming 1
bedding 1
been 1
begins 1
being 3
book 2
boots 1
bowls 1
bricklaying 1
brutal 1
but 3
by 8
caesar 1
camp 3
camps 1
can 2
captured 1
clean 1
cloth 1
clothing 1
cold 1
compared 1
conditions 1
conserves 1
considered 1
construction 1
content 1
could 1
date 1
day 9
dayanything 1
defies 1
dehumanize 1
denisovich 2
despite 1
details 1
difficult 1
dispensary 1
do 2
dofor 1
done 1
during 1
each 3
easily 1
easy 1
effort 1
end 1
ends 1
enough 1
even 2
everyday 1
example 3
exempt 2
exist 1
extra 1
extremely 1
family 1
fed 1
felt 1
few 2
final 1
finally 1
fit 1
fittest 1
food 3
for 14
forced 2
foreman 1
found 1
freezes 1
from 3
fully 1
gang 2
generally 1
germans 1
get 3
goes 2
government 1
grows 1
guardhouse 2
gulag 1
had 2
happy 1
hardest 1
harshness 1
has 2
he 9
hed 1
helps 1
hide 1
him 2
his 2
how 1
however 1
identification 1
if 3
ii 1
illness 1
in 10
inadequate 1
indeed 1
innocent 1
instead 1
intellectual 1
is 16
issued 1
it 1
ita 1
item 1
ivan 2
kind 1
labor 2
late 2
later 1
leader 3
leave 1
life 1
like 1
liked 1
lines 1
live 1
lives 1
loyalty 1
luck 1
mainly 1
man 1
manual 1
many 1
matteroffact 1
members 2
mentioned 1
methods 1
minor 1
mittens 1
more 3
morning 1
morose 1
mortar 1
most 1
must 1
nonetheless 1
not 1
notable 1
now 1
number 1
numbers 1
of 18
office 1
on 1
one 3
only 1
or 1
orderly 1
other 2
others 1
out 2
outdoor 1
over 1
p13 1
packages 2
papering 1
paragraph 1
passing 1
performed 1
pressure 1
prisoner 3
prisoners 8
productive 1
provide 1
punished 2
punishment 1
quickly 1
rarely 1
rations 1
reaches 1
reader 1
receive 1
receives 1
receiving 1
regardless 1
reminded 1
report 1
respected 1
rest 1
ripped 1
rule 2
scant 1
sent 1
sentenced 1
serves 1
services 1
share 1
shows 1
shukhov 14
sick 1
since 1
site 2
slacking 1
sleep 1
small 1
solidarity 1
solzhenitsyn 2
soup 1
soviet 1
speaks 1
special 1
spy 2
squad 9
standing 1
states 1
steal 1
strict 1
strokes 1
such 1
suggests 1
surprising 1
survival 2
survive 1
system 1
taken 1
talks 1
tar 1
teaming 1
ten 1
than 1
that 9
the 55
their 4
them 3
then 2
thermometer 1
they 2
thin 1
things 1
this 1
those 1
though 1
thoughts 1
through 2
thus 1
tiurin 2
to 25
together 1
trade 1
tsezar 3
unable 1
understands 1
up 3
used 3
waking 2
war 2
was 3
watchful 1
well 1
went 1
were 3
when 1
where 1
which 1
who 1
whole 2
windows 1
with 3
work 7
workers 2
world 1
worsened 1
would 3
years 1
zeks 2
