26683273
/m/0bmf1tp
/m/0bmf1tp
Garth Stein
2009-06-09
{"/m/02xlf": "Fiction"}
a 5
about 1
and 5
as 1
bad 1
battle 1
be 1
before 1
believes 1
calling 1
can 1
car 2
childcustody 1
condition 1
days 1
denny 2
distills 1
dog 2
driver 1
driving 1
enzo 4
eventually 1
follows 1
from 1
gleaning 1
good 1
greatest 1
he 1
his 8
hone 1
human 2
humanness 1
in 5
inlaws 1
is 2
it 1
journey 1
key 1
learning 1
legend 1
life 2
living 1
make 1
manifest 1
mantra 1
mdash 1
mongolian 1
next 1
novel 1
observations 1
of 3
out 1
owner 1
passion 1
plays 1
prepare 1
prepared 1
race 2
reincarnated 1
relating 1
role 1
seattle 2
sense 1
sets 1
spends 1
story 1
struggle 1
swift 1
television 1
that 2
the 9
times 1
to 4
unthinkable 1
watching 1
what 1
which 1
who 2
will 1
with 2
you 2
