3203784
/m/08z1z_
/m/08z1z_
Naoya Shiga

{"/m/05hgj": "Novel"}
a 17
about 1
act 2
affair 2
after 3
again 1
always 1
ancient 1
and 15
another 1
as 6
ask 1
asking 1
aspiring 1
attitude 1
baby 3
bargirls 1
become 1
becomes 1
between 2
birth 2
blissful 1
boy 2
brief 1
brother 2
business 1
but 3
by 1
capital 1
case 1
caused 1
cellulitis 1
change 1
china 1
cholera 1
chose 1
cliffhanging 1
closet 1
cold 1
comes 1
conceived 1
concerns 1
correspondences 1
countryside 1
couple 1
cousin 1
dark 3
day 2
dead 1
decides 3
develops 1
dies 2
difficult 1
disciplined 1
divided 1
do 1
down 2
during 2
elder 1
ends 1
estrangement 1
ever 1
explains 1
falls 1
family 1
fancy 1
father 2
feelings 1
feverish 1
few 1
final 1
find 1
finds 1
first 1
for 1
forgive 1
four 1
friends 1
from 4
geishas 2
germany 1
girl 1
gives 2
go 2
gobetween 1
goes 3
grandfather 3
had 1
has 1
have 1
he 8
help 1
her 2
him 5
himself 1
his 17
home 1
however 1
ill 1
illness 1
in 12
infancy 1
instead 1
interest 2
intermediary 1
into 1
is 4
it 3
its 1
japan 1
kensaku 14
kin 1
korea 1
kyoto 1
lady 1
late 1
letters 1
lifestyle 1
live 1
lives 1
maintain 1
make 2
marriage 1
marry 1
meets 1
mistress 1
mother 3
mourns 1
naoko 7
night 1
nobuyuki 2
nothing 1
novel 1
now 1
oei 7
of 6
on 1
one 1
onomichi 1
out 1
over 2
overseas 1
part 4
parts 1
passing 1
paternal 2
pick 1
place 1
pregnant 1
proposal 1
proposing 1
prostitutes 1
protagonist 1
raped 1
reader 1
realizes 1
realizing 1
relations 1
resides 1
result 1
returns 1
rushes 1
seaside 1
secluded 1
secret 2
see 1
senior 1
sent 1
serious 1
she 1
some 1
somewhat 1
soon 1
state 1
strained 1
studying 1
style 1
suffers 1
takes 1
tells 1
temper 1
the 11
their 7
there 2
this 2
three 1
tianjin 1
to 24
tokit 1
tokyo 2
toward 1
town 1
trip 3
turns 1
twenty 1
two 1
uncertain 1
up 1
visit 1
visits 1
was 3
well 1
when 2
whether 1
while 1
whilst 1
who 3
whom 1
wife 2
with 6
would 1
writer 1
writes 1
writing 2
year 1
years 1
young 3
