5213100
/m/025tdg9
/m/025tdg9
Saddam Hussein

{"/m/01qxvh": "Romance novel"}
7th 1
8th 1
a 5
about 1
allegory 1
although 1
an 1
and 5
as 1
at 1
be 1
beautiful 1
book 2
century 1
commoner 1
cruel 1
end 1
girl 1
gulf 1
her 1
hero 1
his 1
home 1
husband 2
hussein 2
in 1
intended 1
invasion 1
iraq 2
iraqi 1
is 7
it 1
love 1
man 1
medieval 1
named 1
novel 1
of 4
on 1
or 1
people 1
plot 1
powerful 1
rape 1
rapes 1
read 1
represents 2
romance 1
ruler 1
set 1
states 1
story 1
surface 1
the 11
tikrit 1
to 1
town 1
united 1
unloving 1
us 1
vicious 1
war 1
was 1
who 1
zabibah 4
