33775440
/m/0hhq1_g
/m/0hhq1_g
Brian Moore
1962
{"/m/05hgj": "Novel"}
a 4
about 1
after 1
american 1
and 4
are 1
arise 1
as 1
at 1
because 1
book 1
brendan 1
central 1
character 1
characters 1
children 2
conflicts 1
crisis 1
cultural 1
daughterinlaw 1
denis 1
describes 1
develops 1
dilemmas 1
dissatisfaction 1
fable 1
find 1
finds 1
first 1
for 1
from 1
full 1
he 1
her 2
him 1
his 4
home 1
in 5
into 1
invites 1
ireland 1
irish 1
is 2
it 1
lifestyle 1
living 1
look 1
marital 1
mirror 1
moral 1
morality 1
mother 2
must 1
new 1
novel 2
odds 1
of 1
on 1
over 1
own 1
sampson 1
sees 1
sense 1
she 1
society 1
son 1
spiritual 1
that 2
the 5
their 1
themselves 1
these 1
tierney 2
time 1
to 2
two 1
values 1
what 1
when 1
which 1
widowed 1
wife 2
with 2
work 1
working 1
write 1
writer 1
york 1
young 1
