4220629
/m/0bqpr5
/m/0bqpr5
Leigh Brackett
1964
1 2
10 1
11 1
12 1
13 1
14 1
15 1
2 2
3 2
4 2
5 2
6 2
7 2
8 2
a 27
able 1
about 3
after 4
again 1
agree 1
agrees 1
alarm 1
aliens 1
also 1
ambitious 1
an 1
and 28
announces 1
approached 2
are 4
armored 1
arms 1
arrest 1
as 3
at 3
attack 2
back 5
balin 2
ban 4
barbarian 2
be 3
beaten 1
been 4
before 4
being 1
belt 6
besiege 1
between 3
bits 1
boss 2
brackett 1
breaches 1
break 1
bring 1
brother 1
but 1
by 10
camar 10
camp 1
campaign 2
cap 2
captain 1
capturer 1
challenged 1
changes 1
chapter 24
chapters 1
character 2
charge 1
ciaran 9
city 6
claims 1
clans 1
clothes 1
clumsy 1
combat 1
come 1
comes 1
commences 1
companion 2
comprehensiveness 1
conclusion 1
confesses 2
connection 1
cruach 4
custody 1
cut 1
dawn 1
days 2
demands 1
despite 4
dies 2
dismisses 1
disobedience 1
does 1
down 2
earlier 1
editorial 1
enough 1
enters 2
eric 2
escape 1
escapes 1
ever 1
examining 2
except 1
expansion 1
explain 1
explicit 1
face 2
far 1
faux 1
feigns 1
fight 1
fighting 1
followers 1
for 8
forehead 1
found 1
from 2
front 1
fully 1
gate 1
get 2
gets 1
gives 1
glamor 1
goes 3
group 1
guard 1
guerrilla 2
had 1
hamilton 1
hand 2
hard 1
has 4
have 1
having 1
he 18
hears 1
her 3
here 1
hidden 2
hides 1
hills 2
him 10
his 13
holy 2
home 5
ice 1
imminent 1
important 1
in 20
insane 1
inside 2
interrogates 1
into 1
introduced 1
invasion 1
invention 1
is 20
it 8
its 1
john 2
just 1
keeps 2
kill 1
kills 2
kushat 17
last 1
later 1
lead 1
leads 1
least 1
leave 1
led 1
letdown 1
lives 2
longer 1
looting 1
lord 1
loses 1
loyalty 1
lugh 2
made 1
make 2
manages 1
marked 1
mars 2
mask 1
masked 1
may 1
meets 1
mekh 6
memories 1
men 2
mercenary 2
mle 1
moment 1
more 2
morning 1
mortally 2
motivation 1
mount 1
much 1
murderously 1
mythical 1
name 2
near 1
nobility 1
nobleman 1
northern 2
northward 1
not 2
of 31
off 1
omitted 1
on 6
one 3
only 1
original 1
outland 2
over 1
pas 1
pass 3
passage 1
person 1
persuaded 1
place 1
plan 1
plunder 1
polar 2
presses 1
previous 1
prodded 1
promises 2
put 1
puts 2
questions 1
reaches 1
receives 1
redhaired 1
referred 1
resistance 1
resulting 1
retain 1
retained 1
return 3
revealing 1
revelation 1
revision 1
riders 4
riding 1
rogain 3
safe 2
scaffold 1
scarp 1
scourged 1
secret 1
see 1
seen 1
series 1
several 2
significant 1
single 1
sinharat 2
sleep 1
sleeps 1
snowy 1
soldiers 3
something 1
sometimes 2
soon 2
speak 1
spear 1
spears 1
standing 1
stark 23
stolen 2
story 1
surrounds 2
take 2
takes 2
talisman 13
tears 1
tells 1
text 1
than 2
thanis 4
that 10
the 59
their 1
there 2
they 5
thief 2
thing 1
third 1
this 2
thord 5
though 1
three 1
through 2
thumb 1
tied 1
tiny 1
to 35
tower 1
towers 1
travelling 2
treatment 1
tribe 2
tries 1
trying 2
turns 1
twist 1
unable 2
unclear 1
unconsciousness 1
uncooperative 1
unintelligible 1
until 1
unusual 1
up 1
valley 1
very 1
victory 1
visions 1
voices 1
wakened 1
wakes 1
wall 3
wants 2
warning 1
warns 2
wasteland 1
when 3
where 1
which 4
who 4
whom 1
wilderness 2
with 1
without 1
woman 1
work 2
wounded 2
